Configuracion Inicial|Erstkonfiguration
Formas de Pago|Zahlungsformen
Empleados|Mitarbeiter
Clientes|Kunden
Proveedores|Lieferanten
Aceptar|Akzeptieren
Cancelar|Abbrechen
Eliminar|Löschen
Modificar|Ändern
Nuevo|Neu
No Movimiento|Keine Bewegung
Productos relacionados con el proveedor:|Produkte im Zusammenhang mit dem Lieferanten:
Dia de Visita:|Besuchstag:
Número de Cuenta:|Kontonummer:
Nombre del Banco|Name der Bank
Dia de Pago:|Zahlungstag:
Forma de Pago:|Zahlungsmethode:
Observaciones:|Beobachtungen:
Correo Electrónico:|E-Mail:
Móvil / Celular:|Mobil / Mobilfunk:
Teléfono:|Telefon:
Dirección:|Adresse:
Población:|Bevölkerung:
Código Postal:|Postleitzahl:
Provincia:|Provinz:
País:|Land:
DNI / CIF|DNI / CIF
Contacto:|Kontakt:
Nombre|Name
Gestion de Proveedores|Lieferantenmanagement
Lista de Proveedores|Liste der Anbieter
Ver Ingredientes|Siehe Zutaten
Ver Productos Venta|Siehe Produkte Verkauf
Zona:|Zone:
    Buscar Por Nombre:|Suche nach Name:
Codigoproducto|Codigo Produkt
Barra|Barra
Cocina|Kochen
Ambos|Beides
situaciongrid|Situationsgrid
Posicion  en Pantalla:|Bildschirmposition:
Ingredientes|Zutaten
Producto para Venta|Produkt zum Verkauf
Mostrar en Pantalla de Caja:|Im Box-Bildschirm anzeigen:
Precio de Venta:|Verkaufspreis:
Impuesto:|Steuern:
grid_ingredientes|grid_ingredientes
grid_productosventas|grid_productosventas
Descripcion Numerica:|Numerica Beschreibung:
Seleccionar Color:|Wählen Sie Farbe:
Insertar Imagen|Bild einfügen
Tipo de Producto:|Art des Produkts:
Producto preparado en:|Produkt zubereitet in:
Coste:|Kosten:
Stock Actual:|Aktueller Vorrat:
Stock Minimo:|Mindestbestand:
Proveedor:|Anbieter:
Codigo de Barras:|Strichcode:
Unidades de medida:|Maßeinheiten:
Nombre del Producto:|Produktname:
Gestion de Productos|Produktmanagement
Buscar|Suche
Resultados de la Busqueda|Ergebnisse der Suche
panel de busqueda de clientes|Kundensuche-Panel
Buscar Clientes|Kunden suchen
** DOBLE CLIC EN EL CLIENTE DESEADO|** DOPPELKLICKEN SIE AUF DEN GEWÜNSCHTEN KUNDEN
Rellene algun campo para la busqueda|Füllen Sie einige Felder für die Suche aus
DNI/ CIF|DNI / CIF
Tlf Movil|Handy
Telefono|Telefon
Email|E-Mail
Provincia|Provinz
Poblacion|Bevölkerung
Apellidos|Nachname
CP|CP
Codigo Cliente|Kundencode
situacion|Situation
Descuento %|Rabatt%
historico ventas|historische Verkäufe
datos|Daten
Lista Ultimos 50 Clientes|Letzte 50 Kundenliste
Puerta|Tür
Numero|Nummer
Piso|Boden
Direcccion|Richtung
Nombre *|Name *
situacion buscar|Situationsuche
Gestion de Clientes|Kundenmanagement
Familia Tipo Menu Combo|Familientyp Menü Combo
Familia Tipo Menu|Familientyp Menü
Familia Generica|Generische Familie
Gestion de Familias|Familienmanagement
Clic sobre la familia para ver mas detalles|Klicken Sie auf die Familie, um weitere Details anzuzeigen
Lista de Familias|Liste der Familien
*Pulse en la familia para ver los productos agregados a la misma|* Klicken Sie auf die Familie, um die hinzugefügten Produkte zu sehen
Seleccione el tipo de familia|Wählen Sie die Art der Familie
Lb_stopanelproductos|Lb_stopanelproducts
Esta familia no tiene productos relacionados|Diese Familie hat keine verwandten Produkte
lista productos|Produkte auflisten
Clic en el producto que desee incluir en su familia|Klicken Sie auf das Produkt, das Sie in Ihre Familie aufnehmen möchten
Lista de Productos |Liste der Produkte
Añadir Productos|Produkte hinzufügen
Tipo de Familia:|Art der Familie:
Label5|Label5
datos generica|generische Daten
datos familia generica|generische Familiendaten
Imagen|Bild
Datos de la Familia|Familiendaten
Mostrar en Caja |In Schachtel zeigen
Posicion en Pantalla|Bildschirmposition
Descripcion Numerica|Numerische Beschreibung
Productos Incluidos|Enthaltene Produkte
panel menu familia|Panel-Menü-Familie
Producto incluido en otra familia|Produkt in einer anderen Familie enthalten
Productos Tercer Plato/ Postre|Dritte Dish / Dessert Produkte
Productos Segundo Plato|Zweite Platte Produkte
Productos Primer Plato|Erste Plattenprodukte
Añadir Postre|Nachtisch hinzufügen
Añadir Segundo|Zweite hinzufügen
Añadir Primero|Füge zuerst hinzu
Impuesto|Steuern
Precio de Venta|Verkaufspreis
tipo|eingeben
NO BORRAR|LÖSCH NICHT
situacion paneles|Situationspanels
Añadir + Productos a la SubFamilia|Fügen Sie der Unterfamilie + Produkte hinzu
Clic en el producto que desee incluir en el subproducto|Klicken Sie auf das Produkt, das Sie in das Unterprodukt aufnehmen möchten
Familia a la que pertenece|Familie, zu der es gehört
datos subfamilia|Unterfamiliedaten
Datos de la SubFamilia|Daten der Unterfamilie
SubFamilias Existentes|Vorhandene Unterfamilien
Num S.S.:|Num S. S.:
Repartidor:|Händler:
Apellidos:|Nachname:
Color en Caja:|Farbe in der Box:
Número de  Cuenta:|Kontonummer:
Nombre  del Banco:|Name der Bank:
Foto:|Foto:
Correo  Electrónico:|E-Mail:
NIF/ CIF:|NIF / CIF:
Nombre:|Name:
Lista de Empleados|Liste der Mitarbeiter
Gestion de Empleados|Mitarbeiterverwaltung
*clic para ver datos del producto|* klicken, um Produktdaten zu sehen
top grid|oberes Raster
Sirve para que en lugar de que  aparezca una imagen en el boton  del producto aparezca un numero.|Es dient dazu, dass anstelle eines Bildes auf der Produkttaste eine Nummer erscheint.
alturacandidadingredientes|höheCandityingients
Es el lugar donde queremos que se  muestre el producto en caja cuando hacemos clic sobre su familia.|Es ist der Ort, wo wir das Produkt in der Box zeigen möchten, wenn wir auf Ihre Familie klicken.
nombreproducto|Produktname
Codigo|Code
CantidaddeIngredientes|Menge der Zutaten
Cantidad|Betrag
Ingredientes Incluidos en el Producto: |Zutaten im Produkt enthalten:
Ver Datos Completos|Siehe vollständige Daten
¿cuantos|Wie viele
sto ingredientes|sto Zutaten
Producto Elaborado|Verarbeitetes Produkt
Producto preparado en|Produkt vorbereitet in
Descripcion  Numerica:|Numerica Beschreibung:
situacion izquierda|linke Situation
situacion derecha|richtige Situation
alturagrid|Alturagrid
Seleccione el producto o el ingrediente a utilizar|Wählen Sie das zu verwendende Produkt oder die Zutat aus
Ver Productos|Siehe Produkte
Gestion de Productos Elaborados|Verwaltung verarbeiteter Produkte
Ver Ingredientes Incluidos|Siehe Zutaten enthalten
Añadir Producto|Produkt hinzufügen
Nuevo Precio|Neuer Preis
Precio Actual|Aktueller Preis
Añadir Nuevos Productos|Neue Produkte hinzufügen
Producto|Produkt
Precio Original|Ursprünglicher Preis
Precios Validos entre los siguientes dias y horas|Gültige Preise zwischen den folgenden Tagen und Stunden
Hora Hasta|Stunde bis
Hora Desde|Zeit von
Fecha Hasta|Datum bis
Fecha Desde|Datum von
Nombre de la lista|Name der Liste
SITUACION DE LOS PANELES|SITUATION DER PANEELE
Id lista|ID-Liste
Fecha de Alta|Datum der Registrierung
Desde|Von
Hasta|Bis
Horario Desde|Zeitplan von
Horario Hasta|Planen Sie ein
Ver Lista|Siehe Liste
Lista de Precios Existentes|Bestehende Preisliste
Volver Lista de Precios|Zurück Preisliste
Lista de Precios|Preisliste
Productos de Barra|Produkte von Barra
Productos de cocina|Küchenprodukte
Esta zona la voy a utilizar para|Ich werde diesen Bereich nutzen um
Zonas Existentes|Vorhandene Bereiche
Zonas de Impresion|Bereiche des Eindrucks
Diseño|Design
Otro Terminal|Anderes Terminal
Reservada|Reserviert
Ocupada|Beschäftigt
Libre|Kostenlos
Panel Mesas|Paneltabellen
Mesas|Tabellen
Diseño Salon|Salon Design
Reservas|Reservierungen
Salones|Zimmer
Reserva|Reservierung
Total|Summe
Tablet Activada|Aktivierte Tablette
Visor Pedidos|Auftragsanzeige
Bit|Bit
Pedido Telefonico|Telefon Bestellung
Envio|Versand
Juntar Cuentas|Konten beitreten
SALON|SALON
EMPLEADO|MITARBEITER
codigoempleado|Mitarbeitercode
PEDIDO|Anfrage
H. INICIO|H. HOME
MESA|MESA
Cant.|Nicht.
Precio|Preis
Primero|Erstens
Segundo|Zweitens
Postre|Nachtisch
Desc|Desc
Num_Factura|Num_Factura
Recargo|Aufpreis
Producto de Menu|Produkt des Menüs
Menu|Menü
Codigo del Menu|Menücode
Servido|Serviert
Tipo de Impuesto|Steuerart
Cod Empleado|Kabeljau-Mitarbeiter
codigo Familia|Familiencode
Indice|Index
Cod. Prod.|Cod. Prod.
Orden Menu|Bestellmenü
ZonaImpresion|Impressionsbereich
BEBIDAS/ POSTRES|GETRÄNKE / DESSERTS
PRIMER PLATO|ERSTE PLATTE
SEGUNDO PLATO|ZWEITE PLATTE
situacion panel producto|Produktpaneelsituation
Opciones|Optionen
Cobrar|Gebühr
Abrir  Cajetin|Öffnen Sie Cajetin
Preticket|Pre-Ticket
Enviar a cocina|In die Küche schicken
Borrar Venta|Verkauf löschen
Observ. Pedido|Ich habe es beobachtet Bestellung
Crear/Modificar Salones|Räume erstellen / ändern
Diseño de Salones|Design von Räumen
Elementos para  el diseño|Elemente für das Design
Posicion del objeto/mesa|Position des Objekts / der Tabelle
Eliminar Mesa|Entfernen Sie die Tabelle
Eliminar Objeto|Objekt löschen
Guardar Numero|Nummer speichern
Numero Mesa|Nummer Tabelle
Eliminar Diseño Salon|Entfernen Sie Design Salon
Boton Pulsado|Gepulster Knopf
Objeto Pulsado|Gepulstes Objekt
Esta diseñando el:|Entwirft das:
Alta Salones/ Barra|Hohe Hallen / Bar
Lista de Salones - Barras|Liste der Zimmer - Bars
Recargo:|Aufpreis:
Posicion En Pantalla:|Bildschirmposition:
Color Salon|Farbsalon
Imagen Mesas|Bildtabellen
Nro de Mesas:|Anzahl der Tabellen:
Imagen Salon|Salon Bild
Cambiar Idioma / Change Language|Sprache ändern / Sprache ändern
Base De Datos|Datenbank
Contraseña Director|Director-Passwort
Importar Imagenes del Servidor|Importieren Sie Bilder vom Server
Permisos Usuario|Benutzerberechtigungen
Importar Datos|Daten importieren
Cierre Año|Jahr nah
Envio Informes|Versandberichte
Conexion en Red|Netzwerkverbindung
Aumento Precio|Erhöhen Sie den Preis
Horario|Zeitplan
Diseño Ticket / Factura|Ticket Design / Rechnung
Cajetin|Cajetin
Impresoras|Drucker
Copia de Seguridad|Sicherungskopie
Configuracion Regional|Regionale Einstellungen
Datos de la empresa|Daten des Unternehmens
situacionpaneles|Situacionpanele
Esta a punto de restaurar una copia de seguridad, recuerde que este proceso es irreversible y cambiara la base de datos con la que trabaja en estos momentos por la seleccionada |Sie sind dabei, eine Sicherungskopie wiederherzustellen, denken Sie daran, dass dieser Vorgang nicht rückgängig gemacht werden kann und ändern Sie die Datenbank, mit der Sie gerade arbeiten, für die ausgewählte
Hacer Copia de Seguridad|Backup erstellen
Restaurar Copia de Seguridad|Backup wiederherstellen
Administracion Permisos|Berechtigungen Verwaltung
Nro. de copias del preticket|Anzahl der Pre-Ticket-Kopien
Nro. de copias del ticket|Anzahl der Kopien des Tickets
Centrado|Zentriert
OFF|Aus
ON|EIN
Enviar Confirmacion Reserva|Bestätigungsreservierung senden
Enviar email al director / cierre caja|E-Mail an Regisseur senden / Box schließen
Realizar cierre caja ciego|Schließen Sie die Blindbox
Pedir Contraseña Al Entrar Al Programa|Passwort beim Eingeben des Programms anfordern
Permisos Usuarios|Benutzerberechtigungen
Pedir contraseña para las modificaciones / eliminaciones / descuentos ... (Para todos los empleados)|Passwort für Änderungen / Löschungen / Rabatte anfordern ... (Für alle Mitarbeiter)
Pedir Contraseña Apertura de Cajetin|Anfrage Passwort Cajetin Eröffnung
Pedir Contraseña Al Entrar Caja|Beim Eingeben der Box nach dem Passwort fragen
Pedir Empleado Al Entrar Caja|Fragen Sie Mitarbeiter beim Eingeben der Box
Activar Opciones|Aktivieren Sie Optionen
Pedir Contraseña|Passwort abfragen
Pedir Empleado X Cada Venta|Fragen Sie nach Mitarbeiter X Every Sale
Utilizar Caja Rapida|Verwenden Sie die Quick Box
Entrar en modo Direccion|Geben Sie den Adressmodus ein
¿Ha olvidado su contraseña?|Hast du dein Passwort vergessen?
No ha seleccionado ningun empleado|Sie haben keinen Mitarbeiter ausgewählt
Ingrese su clave:|Gib dein Passwort ein:
SELECCIONE EL EMPLEADO|WÄHLEN SIE DEN MITARBEITER AUS
Nombre de la Empresa|Firmenname
Ingrese el nro. de percha|Geben Sie die Nummer ein von Aufhänger
lb-_Empleado|lb-_Mitarbeiter
Cambio Precio|Preis ändern
Cierre De Caja|Box Schließung
Imprimir Resguardo|Drucken Resguardo
Imprimir Ticket|Ticket drucken
Abrir Cajetin|Öffnen Sie Cajetin
Terminar Venta|Verkauf beenden
Importe Total Prendas|Gesamtbetrag Kleider
Entrega cliente|Kundenlieferung
Devolucion|Zurück
Venta Anterior|Vorheriger Verkauf
Nro Prendas|Keine Kleider
Caja - Ropero|Box - Kleiderschrank
Entrada Seleccionada|Ausgewählter Eintrag
Entrada + consumicion|Eintrag + Verbrauch
Entrada Seleccionada:|Ausgewählter Eintrag:
Seleccion De Entradas|Auswahl der Tickets
Nombre del Visor:|Name des Betrachters:
Utilizar Visor|Verwenden Sie den Viewer
Eliminar Impresoras de este teminal|Entfernen Sie Drucker von diesem Terminal
La impresora se ha dado de alta correctamente|Der Drucker hat sich erfolgreich registriert
Seleccione la celda en la interseccion de la impresora y la zona que quiere asociar|Wählen Sie die Zelle an der Schnittstelle des Druckers und des Bereichs aus, den Sie zuordnen möchten
Configuracion de Impresoras|Druckerkonfiguration
Gestion de Impresoras|Druckerverwaltung
Reenvio de Pedidos A cocina / Barra|Weiterleitung von Bestellungen an Küche / Bar
* click en la linea que desea reimprimir|* Klicken Sie auf die Zeile, die Sie erneut drucken möchten
Zona Impresion|Impressionszone
Hora|Stunde
numPedido|numPedido
Fecha|Datum
enviado|gesendet
Detalles del Pedido|Details der Bestellung
Reenviar|Erneut senden
NumPedido =|Bestellnummer =
Guardar|Speichern
Descuento a aplicar|Rabatt, um zu gelten
lblCliente|lblClient
Terminar Venta <F12>|Fertigverkauf <F12>
Descuento|Rabatt
Buscar Cliente|Kunden suchen
Cambio|Ändern
Cliente entrega Efectivo|Bargeldlieferkunde
Cliente paga con Tarjeta|Kunde zahlt mit Karte
Formato de Impresion|Druckformat
Formato A4|Format A4
Formato A5|Format A5
Tamaño 10 cm.|Größe 10 cm.
Imprimir factura|Rechnung drucken
SubTotal|Zwischensumme
Propina|Tipp
Enviar ticket Correo Electronico|Sende Ticket E-Mail
Cerrar Venta|Schlussverkauf
Imprimir en Cocina|Druck in der Küche
V E R  T I C K E T|V E R T I C K E T
Tipo de venta|Art des Verkaufs
Factura|Rechnung
Boleta Formato Ticket|Ticketformatticket
Ultima Venta|Letzter Verkauf
Diseño de salon|Salon-Design
Eliminar Venta Ya Cobrada|Löschen Verkauf bereits gesammelt
Cobro Parcial|Teilweise Sammlung
Reservas de Mesas|Tischreservierungen
Listados Caja|Auflistungsfeld
Retirada de Caja|Abhebung von Bargeld
Gastos del Dia|Tagesausgaben
Activar Precios para este Terminal|Aktivieren Sie Preise für dieses Terminal
Reimpresion Ticket|Ticket erneut drucken
Modificacion de Tickets|Änderung von Tickets
Conteo y cierre de caja|Zählen und Schließen von Bargeld
situacion panel opciones|Panelsituation Optionen
panel_opciones de caja|panel_optionen
CONFIGURACION OPCIONES CAJA|KONFIGURATION BOX OPTIONEN
Regresar al idioma original|Zurück zur Originalsprache
¿Confirma que desea eliminar el siguiente registro?|Möchten Sie den nächsten Datensatz wirklich löschen?
Idiomas|Sprachen
Usted ha seleccionado|Sie haben ausgewählt
Ninguno|Keine
¿Seleccione el Idioma?|Wählen Sie die Sprache?
Texto Traducido|Übersetzter Text
Texto Original|Originaltext
id|ID
Texto|Text
Traduccion|Übersetzung
lineas sin traducir|unübersetzte Zeilen
Click sobre la linea para añadir una traduccion|Klicken Sie auf die Zeile, um eine Übersetzung hinzuzufügen
Click sobre la linea para modificar la traduccion|Klicken Sie auf die Zeile, um die Übersetzung zu ändern
Texto sin traducir|Nicht übersetzter Text
Condiciones|Bedingungen
Registro de Licencias|Registrierung von Lizenzen
Acerca de ...|Über ...
TPV Gratuito|Kostenlose POS
B. Aires - Argentina|B. Aires - Argentinien
D. F. - Mexico|D. F. - Mexiko
Santiago de Chile|Santiago, Chile
Lima - Peru|Lima - Peru
Costa Rica|Costa Rica
Puerto Rico|Puerto Rico
Miami - Florida|Miami - Florida
Bogota - Colombia|Bogotá - Kolumbien
Mantenimiento registrado hasta:|Registrierte Wartung bis:
Fecha de Caducidad:|Ablaufdatum:
Fecha de Instalacion:|Installationsdatum:
TPV Gratuito, Departamento de Desarrollo|Kostenlose POS, Entwicklungsabteilung
Ultima actualizacion: XXX|Letztes Update: XXX
Fecha de creacion:  XXX|Erstellungsdatum: XXX
Proyecto: Tpv 123, Version: XXX|Projekt: Tpv 123, Version: XXX
Paseo de Europa 7, (S.S. de los Reyes - Madrid -España)|Walk of Europe 7, (S. S. de Reyes - Madrid-Spanien)
Buenos Aires - Argentina|Buenos Aires - Argentinien
E-mail: compras@tpvgratuito.com   www.tpvgratuito.com|E-Mail: compras@tpvgratuito.com www.tpvgratuito.com
Servicio de asistencia:|Helpdesk:
Reg. Anual|Jährliche Reg
Usted está utilizando una licencia:|Sie verwenden eine Lizenz:
SolverMedia|SolverMedia
SolverMedia, Departamento de Desarrollo|SolverMedia, Entwicklungsabteilung
Fecha de creacion: XXX|Erstellungsdatum: XXX
Proyecto: Servidor Net, Version: XXX|Projekt: Net Server, Version: XXX
No hay datos para ser mostrados|Es müssen keine Daten angezeigt werden
Listado de Empleados|Liste der Mitarbeiter
Listado de Familias|Liste der Familien
Listados Generales|Allgemeine Einträge
Ventas NCF Rep. Dominicana|Verkauf NCF Rep. Dominicana
Ventas con Promociones|Verkäufe mit Promotions
Productos Bajo Minimo|Produkte Niedrig Minimum
Reimprimir Factura - Ticket|Rechnung erneut drucken - Ticket
Ventas x Clientes|Vertrieb x Kunden
Imprimir Letreros  y  Etiquetas |Drucken Schilder und Etiketten
Estadisticas|Statistiken
Valoracion Stock x Proveedores|Bewertungsbestand x Lieferanten
Valoracion Stock General|Allgemeine Bestandsbewertung
Listado de Proveedores|Liste der Anbieter
Listado de Clientes|Liste der Kunden
Listado de Productos|Liste der Produkte
Servicios a Domicilio|Hausdienste
Consumo de Platos Menu|Gericht Verbrauch Menü
Reservas x Dia|Reservierungen x Tag
Pedidos Realizados a Proveedor|Bestellungen an den Lieferanten
Empleado del Mes|Mitarbeiter des Monats
Estadistica x Repartidor|Statistik x Händler
Retiradas Empleados|Zurückgezogene Mitarbeiter
Relacion Envios Cocina contra Ventas|Versandbeziehung Küche vs. Verkauf
Formato Din-A4|Din-A4-Format
Formato Ticket|Ticketformat
Total Diario de Retiradas|Tägliche Auszahlungen insgesamt
Ventas x Zonas|Verkauf x Bereiche
Caja Total x Dias|Gesamtkiste x Tage
Gastos de Caja|Barausgaben
Descuentos Realizados|Rabatte gemacht
Ventas en el mes (Acumulado x Horas)|Verkäufe im Monat (kumuliert x Stunden)
Reservas Hora/Dia /Mes|Reservierungen Zeit / Tag / Monat
Ventas x Empleados|Verkauf x Mitarbeiter
Impuestos Repercutidos|Steuern besteuert
Gastos|Ausgaben
Relacion de Propinas|Spitzenverhältnis
Ventas x Menus|Verkauf x Menüs
Resumen Contable de Facturas|Rechnung Buchhaltungszusammenfassung
Productos mas Vendidos|Meistverkaufte Produkte
Productos Sin Ventas|Produkte ohne Verkauf
Ventas x Horas|Verkäufe x Stunden
Resumen de Venta x Empleados|Zusammenfassung des Verkaufs x Mitarbeiter
Ventas Detalladas x Empleados|Detailverkauf x Mitarbeiter
Ventas Eliminadas y Descuentos|Gelöschte Verkäufe und Rabatte
Ventas x Zonas -Totalizado x Productos|Umsatz x Bereiche - Gesamtbetrag x Produkte
Ventas Generales x Dia|Allgemeine Verkäufe x Tag
Ventas x Familias|Verkäufe x Familien
Ventas x Zonas Formato General|Verkäufe x Bereiche Allgemeines Format
Ventas x Forma de Pago|Verkauf x Zahlungsweise
Ventas Formato Ticket Resumido|Verkaufszusammenfassung Ticket Format
Ventas Formato Ticket x Empleado|Verkaufsformat Ticket x Mitarbeiter
Productos Bajo Minimos Formato Ticket|Produkte unter Minimalformat Ticket
Ventas Eliminadas Formato Ticket|Sales Deleted Format Ticket
Cierres de Caja Formato Ticket|Kassenschließfächer Format Ticket
Ventas Formato Ticket Detallado|Detaillierte Ticketformatierung
Subproductos|Nebenprodukte
Eliminar Datos de Prueba|Testdaten löschen
