Configuracion Inicial|Configuração inicial
Tpv 123 Hosteleria (Version: 8.5.1)|Tpv 123 Hosteleria (Versão: 8.5.1)
Serie: XXX|Série: XXX
Licencia: XXX|Licença: XXX
PROGRAMA REGISTRADO|PROGRAMA REGISTRADO
nombre restaurante|nome do restaurante
Tpv 123 Hosteleria|Tpv 123 Hospitalidade
ADVERTENCIAS IMPORTANTES|AVISOS IMPORTANTES
- El desconocimiento de estas condiciones no le exime del cumplimiento de las mismas.|- Ignorância dessas condições não isenta você de cumpri-las.
- Solo los clientes con la version COMPLETA tienen incluida la asistencia telefonica|- Somente clientes com a versão COMPLETA têm assistência por telefone incluída
---- En la modalidad COMPLETA, realizando un pago anual, ademas de las opciones incluidas en la version BASICA, tendra derecho a la asistencia de forma telefonica.|---- No modo COMPLETO, fazendo um pagamento anual, além das opções incluídas na versão BASIC, você terá direito a assistência por telefone.
---- En la modalidad BASICA, con una reducida cuota anual usted tendra habilitada las opciones del programa que le permitiran realizar todas gestiones necesarias para su negocio, para mayor detalle recuerde consultar la opcion de Tipos de Licencia.|---- No modo BASICA, com uma taxa anual reduzida, você terá habilitado as opções do programa que lhe permitirá realizar todas as etapas necessárias para o seu negócio, para mais detalhes, lembre-se de consultar a opção Tipos de licença.
Si decide utilizar la version GRATUITA recuerde que tiene algunas limitaciones, consulte la opcion de Tipos de Licencia para una descripcion mas detallada de la version GRATUITA, BASICA y COMPLETA.|Se você decidir usar a versão FREE, lembre-se que ela tem algumas limitações, veja a opção Tipos de Licença para uma descrição mais detalhada da versão FREE, BASIC e COMPLETE.
---- En la modalidad GRATUITA, durante los primeros 90 dias usted podra probar y trabajar con la version BASICA, pasado ese periodo podra volver a la version gratuita o pasar a la version BASICA o COMPLETA. Recuerde que esta version GRATUITA  es para empr|---- No modo FREE, durante os primeiros 90 dias você pode tentar trabalhar com a versão BASIC, após esse período você pode retornar para a versão gratuita ou ir para a versão BASIC ou COMPLETE. Lembre-se que esta versão gratuita é para negócios
- La empresa Tpv 123 - Gratuito no es responsable si el cliente formatea el equipo o es atacado por algun tipo de virus que provoque la perdida de informacion o de licencia.|- A empresa Tpv 123 - Gratuito não se responsabiliza se o cliente formatar o equipamento ou se for atacado por algum tipo de vírus que cause a perda de informação ou licença.
- Tpv 123 - Gratuito recomienda la compra, para el buen funcionamiento del programa, de una impresora de tickets EPSON/SAMSUNG/Star o cualquier modelo de impresora, siempre que se instale junto con los drivers de dicha impresora. (Tipo de conexion recomen|- O Tpv 123 - Free recomenda a compra, para o bom funcionamento do programa, de uma impressora de bilhetes EPSON / SAMSUNG / Star ou de qualquer modelo de impressora, desde que seja instalado em conjunto com os drivers da impressora. (Tipo de conexão recomen
- Este es un programa estandar, no se hacen modificaciones a medida o personalizaciones, nuestros clientes en version BASICA y COMPLETA si pueden sugerirnos algunos cambios que nosotros sin ningun coste añadido incluiremos en siguientes versiones.|- Este é um programa padrão, sem modificações ou personalizações personalizadas, nossos clientes nas versões BASIC e COMPLETE, se puderem sugerir algumas alterações que serão incluídas sem custo adicional nas versões a seguir.
- Si usted esta utilizando la version GRATUITA y necesita algun tipo de asistencia recuerde que tiene que contratar la version BASICA o COMPLETA dependiendo de su incidencia.|- Se você estiver usando a versão GRATUITA e precisar de alguma ajuda, lembre-se de contratar a versão BASIC ou COMPLETE, dependendo da sua incidência.
Al instalar este programa,usted acepta las siguientes condiciones:|Ao instalar este programa, você aceita as seguintes condições:
CONDICIONES DE USO DEL PROGRAMA|CONDIÇÕES DE UTILIZAÇÃO DO PROGRAMA
Promociones Fast Food|Promoções de fast food
Zonas|Areas
SubFamilias|Subfamílias
Productos Elaborados|Produtos Processados
Productos|Produtos
Familias|Famílias
Varios Precios|Vários preços
Formas de Pago|Formas de pagamento
Empleados|Funcionários
Clientes|Clientes
Proveedores|Fornecedores
Aceptar|Aceitar
Cancelar|Cancelar
Eliminar|Excluir
Modificar|Modificar
Nuevo|Novo
No Movimiento|Sem movimento
Productos relacionados con el proveedor:|Produtos relacionados ao fornecedor:
Dia de Visita:|Dia da visita:
Número de Cuenta:|Numero de conta:
Nombre del Banco|Nome do banco
Dia de Pago:|Dia de pagamento:
Forma de Pago:|Forma de pagamento:
Observaciones:|Observações:
Correo Electrónico:|Correio eletrônico:
Móvil / Celular:|Celular / Celular:
Teléfono:|Telefone:
Dirección:|Endereço:
Población:|População:
Código Postal:|Código postal:
Provincia:|Província:
País:|País:
DNI / CIF|DNI / CIF
Contacto:|Contato:
Nombre|Nome
Gestion de Proveedores|Gestão de Fornecedores
Lista de Proveedores|Lista de provedores
Ver Ingredientes|Veja os Ingredientes
Ver Productos Venta|Veja a Venda de Produtos
Zona:|Zona:
    Buscar Por Nombre:|    Procurar por nome:
Codigoproducto|Produto Codigo
Barra|Barra
Cocina|Cozinhar
Ambos|Ambos
situaciongrid|situaciongrid
Posicion  en Pantalla:|Posição da tela:
Ingredientes|Ingredientes
Producto para Venta|Produto à Venda
Mostrar en Pantalla de Caja:|Mostrar na tela da caixa:
Precio de Venta:|Preço de venda:
Impuesto:|Imposto:
grid_ingredientes|grid_ingredientes
grid_productosventas|grid_productosventas
Descripcion Numerica:|Numerica description:
Seleccionar Color:|Selecione a cor:
Insertar Imagen|Inserir imagem
Tipo de Producto:|Tipo de produto:
Producto preparado en:|Produto preparado em:
Coste:|Custo:
Stock Actual:|Estoque Atual:
Stock Minimo:|Estoque Mínimo:
Proveedor:|Provedor:
Codigo de Barras:|Código de barras:
Unidades de medida:|Unidades de medida:
Nombre del Producto:|Nome do produto:
Gestion de Productos|Gestão de produtos
Buscar|Pesquisar
Resultados de la Busqueda|Resultados da pesquisa
panel de busqueda de clientes|painel de pesquisa do cliente
Buscar Clientes|Pesquisar clientes
** DOBLE CLIC EN EL CLIENTE DESEADO|** CLIQUE DUPLO NO CLIENTE DESEJADO
Rellene algun campo para la busqueda|Preencha alguns campos para a pesquisa
DNI/ CIF|DNI / CIF
Tlf Movil|Telefone móvel
Telefono|Telefone
Email|Email
Provincia|Province
Poblacion|População
Apellidos|Apelido
CP|CP
Codigo Cliente|Código do cliente
situacion|Situação
Descuento %|% De desconto
historico ventas|vendas históricas
datos|dados
Lista Ultimos 50 Clientes|Última lista de 50 clientes
Puerta|Porta
Numero|Número
Piso|Chão
Direcccion|Direção
Nombre *|Nome *
situacion buscar|pesquisa de situação
Gestion de Clientes|Gestão de clientes
Familia Tipo Menu Combo|Menu Família Tipo Combo
Familia Tipo Menu|Menu Tipo de Família
Familia Generica|Família Genérica
Gestion de Familias|Gestão Familiar
Clic sobre la familia para ver mas detalles|Clique na família para ver mais detalhes
Lista de Familias|Lista de Famílias
*Pulse en la familia para ver los productos agregados a la misma|* Clique na família para ver os produtos adicionados a ela
Seleccione el tipo de familia|Selecione o tipo de família
Lb_stopanelproductos|Lb_stopanelproducts
Esta familia no tiene productos relacionados|Esta família não tem produtos relacionados
lista productos|listar produtos
Clic en el producto que desee incluir en su familia|Clique no produto que você deseja incluir em sua família
Lista de Productos |Lista de Produtos
Añadir Productos|Adicionar produtos
Tipo de Familia:|Tipo de Família:
Label5|Label5
datos generica|dados genéricos
datos familia generica|dados genéricos da família
Imagen|Image
Datos de la Familia|Dados da família
Mostrar en Caja |Mostrar na caixa
Posicion en Pantalla|Posição da tela
Descripcion Numerica|Numerica description
Productos Incluidos|Produtos Incluídos
panel menu familia|família de menu do painel
Producto incluido en otra familia|Produto incluído em outra família
Productos Tercer Plato/ Postre|Terceiro Prato / Sobremesa
Productos Segundo Plato|Segunda placa de produtos
Productos Primer Plato|Produtos de Primeira Placa
Añadir Postre|Adicionar Sobremesa
Añadir Segundo|Adicionar segundo
Añadir Primero|Adicionar primeiro
Impuesto|Imposto
Precio de Venta|Preço de venda
tipo|digitar
NO BORRAR|NÃO APAGUE
situacion paneles|painéis de situação
Añadir + Productos a la SubFamilia|Adicionar + produtos à subfamília
Clic en el producto que desee incluir en el subproducto|Clique no produto que você deseja incluir no subproduto
Familia a la que pertenece|Família a que pertence
datos subfamilia|dados da subfamília
Datos de la SubFamilia|Dados da Subfamília
SubFamilias Existentes|Subfamílias existentes
Num S.S.:|Num S.S .:
Repartidor:|Revendedor:
Apellidos:|Apelido:
Color en Caja:|Cor na caixa:
Número de  Cuenta:|Numero de conta:
Nombre  del Banco:|Nome do banco:
Foto:|Foto:
Correo  Electrónico:|Correio eletrônico:
NIF/ CIF:|NIF / CIF:
Nombre:|Nome:
Lista de Empleados|Lista de funcionários
Gestion de Empleados|Gestão de Empregados
*clic para ver datos del producto|* clique para ver os dados do produto
top grid|grade superior
Sirve para que en lugar de que  aparezca una imagen en el boton  del producto aparezca un numero.|Serve para que, em vez de aparecer uma imagem no botão do produto, apareça um número.
alturacandidadingredientes|heightcandityingredients
Es el lugar donde queremos que se  muestre el producto en caja cuando hacemos clic sobre su familia.|É o lugar onde queremos mostrar o produto na caixa quando clicamos na sua família.
nombreproducto|nome do produto
Codigo|Code
CantidaddeIngredientes|Quantidade de Ingredientes
Cantidad|Quantidade
Ingredientes Incluidos en el Producto: |Ingredientes Incluídos no Produto:
Ver Datos Completos|Ver dados completos
¿cuantos|Quantos
sto ingredientes|sto ingredientes
Producto Elaborado|Produto processado
Producto preparado en|Produto preparado em
Descripcion  Numerica:|Numerica description:
situacion izquierda|situação da esquerda
situacion derecha|situação certa
alturagrid|alturagrid
Seleccione el producto o el ingrediente a utilizar|Selecione o produto ou ingrediente a usar
Ver Productos|Veja os produtos
Gestion de Productos Elaborados|Gerenciamento de produtos processados
Ver Ingredientes Incluidos|Veja os ingredientes incluídos
Añadir Producto|Adicionar produto
Nuevo Precio|Novo Preço
Precio Actual|Preço atual
Añadir Nuevos Productos|Adicionar novos produtos
Producto|Produto
Precio Original|Preço Original
Precios Validos entre los siguientes dias y horas|Preços válidos entre os dias e horas seguintes
Hora Hasta|Hora até
Hora Desde|Tempo De
Fecha Hasta|Data até
Fecha Desde|Data de
Nombre de la lista|Nome da lista
SITUACION DE LOS PANELES|SITUAÇÃO DOS PAINÉIS
Id lista|Lista de identificação
Fecha de Alta|Data de alta
Desde|De
Hasta|Up
Horario Desde|Programar a partir de
Horario Hasta|Agendar Up
Ver Lista|Ver lista
Lista de Precios Existentes|Lista de preços existente
Volver Lista de Precios|Lista de Preços Atrás
Lista de Precios|Lista de preços
Productos de Barra|Produtos da Barra
Productos de cocina|Produtos de cozinha
Esta zona la voy a utilizar para|Eu vou usar essa área para
Zonas Existentes|Áreas Existentes
Zonas de Impresion|Áreas de Impressão
Diseño|Design
Otro Terminal|Outro terminal
Reservada|Reservado
Ocupada|Ocupado
Libre|Grátis
Panel Mesas|Tabelas de Painéis
Mesas|Tabelas
Diseño Salon|Salon Design
Reservas|Reservas
Salones|Quartos
Reserva|Reserva
Total|Total
Tablet Activada|Tablet ativado
Visor Pedidos|Visualizador de pedidos
Bit|Pouco
Pedido Telefonico|Ordem de telefone
Envio|Grátis
Juntar Cuentas|Junte-se a contas
SALON|SALÃO
EMPLEADO|EMPREGADO
codigoempleado|código do empregado
PEDIDO|PEDIDO
H. INICIO|H. HOME
MESA|MESA
Cant.|Não posso
Precio|Preço
Primero|Primeiro
Segundo|Segundo
Postre|Sobremesa
Desc|Desc
Num_Factura|Num_Factura
Recargo|Sobretaxa
Producto de Menu|Produto do cardápio
Menu|Cardápio
Codigo del Menu|Código do Menu
Servido|Servido
Tipo de Impuesto|Tipo de imposto
Cod Empleado|Empregado de bacalhau
codigo Familia|Código da família
Indice|Índice
Cod. Prod.|Cod. Prod.
Orden Menu|Order Menu
ZonaImpresion|Área de Impressão
BEBIDAS/ POSTRES|BEBIDAS / SOBREMESAS
PRIMER PLATO|PRIMEIRO PRATO
SEGUNDO PLATO|SEGUNDO PRATO
situacion panel producto|situação do painel do produto
Opciones|Opções
Cobrar|Cobrar
Abrir  Cajetin|Cajetin aberto
Preticket|Pretzel
Enviar a cocina|Enviar para a cozinha
Borrar Venta|Excluir venda
Observ. Pedido|Eu observei Ordem
Crear/Modificar Salones|Criar / Modificar Salas
Diseño de Salones|Design de Salas
Elementos para  el diseño|Elementos de design
Posicion del objeto/mesa|Posição do objeto / mesa
Eliminar Mesa|Remover Tabela
Eliminar Objeto|Excluir objeto
Guardar Numero|Salvar número
Numero Mesa|Tabela Numérica
Eliminar Diseño Salon|Remover Design Salon
Boton Pulsado|Botão Pulsado
Objeto Pulsado|Objeto Pulsado
Esta diseñando el:|Está projetando o:
Alta Salones/ Barra|Salões altos / Bar
Lista de Salones - Barras|Lista de Quartos - Bares
Recargo:|Sobretaxa:
Posicion En Pantalla:|Posição da tela:
Color Salon|Salão de cor
Imagen Mesas|Tabelas de Imagem
Nro de Mesas:|Nº de tabelas:
Imagen Salon|Imagem do salão de beleza
Cambiar Idioma / Change Language|Alterar idioma / alterar idioma
Base De Datos|Base de dados
Contraseña Director|Senha do diretor
Importar Imagenes del Servidor|Importar imagens do servidor
Permisos Usuario|Permissões do usuário
Importar Datos|Dados de importação
Cierre Año|Próximo ano
Envio Informes|Relatórios de envio
Conexion en Red|Conexão de rede
Aumento Precio|Aumentar Preço
Horario|Horário
Diseño Ticket / Factura|Design do Bilhete / Fatura
Cajetin|Cajetin
Impresoras|Impressoras
Copia de Seguridad|Copia de segurança
Configuracion Regional|Configurações Regionais
Datos de la empresa|Dados da empresa
situacionpaneles|situacionpaneles
Esta a punto de restaurar una copia de seguridad, recuerde que este proceso es irreversible y cambiara la base de datos con la que trabaja en estos momentos por la seleccionada |Você está prestes a restaurar um backup, lembre-se de que esse processo é irreversível e mudará o banco de dados com o qual você está trabalhando atualmente para o selecionado
Hacer Copia de Seguridad|Faça backup
Restaurar Copia de Seguridad|Restaurar Backup
Administracion Permisos|Administração de permissões
Nro. de copias del preticket|Nº de cópias pré-bilhete
Nro. de copias del ticket|Nº de cópias do bilhete
Centrado|Centrado
OFF|OFF
ON|ON
Enviar Confirmacion Reserva|Enviar reserva de confirmação
Enviar email al director / cierre caja|Enviar email para o diretor / fechar caixa
Realizar cierre caja ciego|Execute fechamento caixa cega
Pedir Contraseña Al Entrar Al Programa|Solicitar senha ao entrar no programa
Permisos Usuarios|Permissões de usuários
Pedir contraseña para las modificaciones / eliminaciones / descuentos ... (Para todos los empleados)|Pedir senha para modificações / exclusões / descontos ... (para todos os funcionários)
Pedir Contraseña Apertura de Cajetin|Solicitar senha Cajetin Opening
Pedir Contraseña Al Entrar Caja|Pergunte a senha ao entrar na caixa
Pedir Empleado Al Entrar Caja|Pergunte ao empregado ao entrar na caixa
Activar Opciones|Ativar Opções
Pedir Contraseña|Pergunte a senha
Pedir Empleado X Cada Venta|Pergunte para o empregado X cada venda
Utilizar Caja Rapida|Use Quick Box
Entrar en modo Direccion|Entre no modo Endereço
¿Ha olvidado su contraseña?|Você esqueceu sua senha?
No ha seleccionado ningun empleado|Você não selecionou nenhum funcionário
Ingrese su clave:|Digite sua senha:
SELECCIONE EL EMPLEADO|SELECIONE O EMPREGADO
Nombre de la Empresa|Nome da empresa
Ingrese el nro. de percha|Digite o número de cabide
lb-_Empleado|lb-_Empregado
Cambio Precio|Alterar preço
Cierre De Caja|Fechamento da caixa
Imprimir Resguardo|Imprimir Resguardo
Imprimir Ticket|Bilhete de impressão
Abrir Cajetin|Cajetin aberto
Terminar Venta|Venda final
Importe Total Prendas|Quantidade Total de Vestuário
Entrega cliente|Entrega ao cliente
Devolucion|Retorno
Venta Anterior|Venda anterior
Nro Prendas|Não. Vestuário
Caja - Ropero|Box - Guarda-Roupa
Entrada Seleccionada|Entrada selecionada
Entrada + consumicion|Entrada + consumo
Entrada Seleccionada:|Entrada selecionada:
Seleccion De Entradas|Seleção de ingressos
Nombre del Visor:|Nome do visualizador:
Utilizar Visor|Use o Viewer
Eliminar Impresoras de este teminal|Remover impressoras deste terminal
La impresora se ha dado de alta correctamente|A impressora registrou com sucesso
Seleccione la celda en la interseccion de la impresora y la zona que quiere asociar|Selecione a célula na interseção da impressora e a área que você deseja associar
Configuracion de Impresoras|Configuração da impressora
Gestion de Impresoras|Gerenciamento de Impressora
Reenvio de Pedidos A cocina / Barra|Encaminhamento de Pedidos para Cozinha / Bar
* click en la linea que desea reimprimir|* clique na linha que você deseja reimprimir
Zona Impresion|Zona de impressão
Hora|Hora
numPedido|numPedido
Fecha|Data
enviado|enviado
Detalles del Pedido|Detalhes da Ordem
Reenviar|Reenviar
NumPedido =|OrderNum =
Guardar|Salvar
Descuento a aplicar|Desconto para aplicar
lblCliente|lblClient
Terminar Venta <F12>|Acabamento de Venda <F12>
Descuento|Desconto
Buscar Cliente|Pesquisar no cliente
Cambio|Alterar
Cliente entrega Efectivo|Cliente de entrega em dinheiro
Cliente paga con Tarjeta|Cliente paga com cartão
Formato de Impresion|Formato de impressão
Formato A4|Formato A4
Formato A5|Formato A5
Tamaño 10 cm.|Tamanho 10 cm.
Imprimir factura|Imprimir fatura
SubTotal|Subtotal
Propina|Dica
Enviar ticket Correo Electronico|Enviar ticket E-mail
Cerrar Venta|Fechar venda
Imprimir en Cocina|Imprimir na cozinha
V E R  T I C K E T|V E R I I C K E T
Tipo de venta|Tipo de venda
Factura|Fatura
Boleta Formato Ticket|Bilhete de formato de bilhete
Ultima Venta|Última venda
Diseño de salon|Design de salão de beleza
Eliminar Venta Ya Cobrada|Excluir venda já coletada
Cobro Parcial|Colecção Parcial
Reservas de Mesas|Reservas de mesa
Listados Caja|Caixa de Listagens
Retirada de Caja|Retirada de dinheiro
Gastos del Dia|Despesas do dia
Activar Precios para este Terminal|Ativar Preços para este Terminal
Reimpresion Ticket|Reimprimir Bilhete
Modificacion de Tickets|Modificação de ingressos
Conteo y cierre de caja|Contagem e fechamento de dinheiro
situacion panel opciones|opções de situação do painel
panel_opciones de caja|panel_options
CONFIGURACION OPCIONES CAJA|OPÇÕES DE CAIXA DE CONFIGURAÇÃO
Regresar al idioma original|Retornar ao idioma original
¿Confirma que desea eliminar el siguiente registro?|Tem certeza de que deseja excluir o próximo registro?
Idiomas|Idiomas
Usted ha seleccionado|Você selecionou
Ninguno|Nenhum
¿Seleccione el Idioma?|Selecione o idioma?
Texto Traducido|Texto traduzido
Texto Original|Texto original
id|id
Texto|Texto
Traduccion|Tradução
lineas sin traducir|linhas não traduzidas
Click sobre la linea para añadir una traduccion|Clique na linha para adicionar uma tradução
Click sobre la linea para modificar la traduccion|Clique na linha para modificar a tradução
Texto sin traducir|Texto não traduzido
Condiciones|Condições
Registro de Licencias|Registro de Licenças
Acerca de ...|Sobre ...
TPV Gratuito|POS grátis
B. Aires - Argentina|B. Aires - Argentina
D. F. - Mexico|D. F. - Mexico
Santiago de Chile|Santiago do Chile
Lima - Peru|Lima Peru
Costa Rica|Costa Rica
Puerto Rico|Porto Rico
Miami - Florida|Miami - Flórida
Bogota - Colombia|Bogotá Colômbia
Mantenimiento registrado hasta:|Manutenção registrada até:
Fecha de Caducidad:|Data de validade:
Fecha de Instalacion:|Data de Instalação:
TPV Gratuito, Departamento de Desarrollo|POS gratuito, departamento de desenvolvimento
Ultima actualizacion: XXX|Última atualização: XXX
Fecha de creacion:  XXX|Data de criação: XXX
Proyecto: Tpv 123, Version: XXX|Projeto: Tpv 123, Versão: XXX
Paseo de Europa 7, (S.S. de los Reyes - Madrid -España)|Caminhada da Europa 7, (S.S. de los Reyes - Madrid-Espanha)
Buenos Aires - Argentina|Buenos Aires, Argentina
E-mail: compras@tpvgratuito.com   www.tpvgratuito.com|E-mail: compras@tpvgratuito.com www.tpvgratuito.com
Servicio de asistencia:|Helpdesk:
Reg. Anual|Reg anual
Usted está utilizando una licencia:|Você está usando uma licença:
SolverMedia|SolverMedia
SolverMedia, Departamento de Desarrollo|SolverMedia, Departamento de Desenvolvimento
Fecha de creacion: XXX|Data de criação: XXX
Proyecto: Servidor Net, Version: XXX|Projeto: Net Server, Versão: XXX
No hay datos para ser mostrados|Não há dados a serem mostrados
Listado de Empleados|Lista de funcionários
Listado de Familias|Lista de Famílias
Listados Generales|Listagens gerais
Ventas NCF Rep. Dominicana|Vendas NCF Rep. Dominicana
Ventas con Promociones|Vendas com Promoções
Productos Bajo Minimo|Mínimo inferior de produtos
Reimprimir Factura - Ticket|Reimprimir fatura - bilhete
Ventas x Clientes|Vendas x Clientes
Imprimir Letreros  y  Etiquetas |Imprimir sinais e etiquetas
Estadisticas|Estatísticas
Valoracion Stock x Proveedores|Estoque de avaliação x Fornecedores
Valoracion Stock General|Avaliação geral de ações
Listado de Proveedores|Lista de provedores
Listado de Clientes|Lista de clientes
Listado de Productos|Lista de Produtos
Servicios a Domicilio|Serviços Domésticos
Consumo de Platos Menu|Menu de Consumo de Prato
Reservas x Dia|Reservas x dia
Pedidos Realizados a Proveedor|Pedidos feitos ao fornecedor
Empleado del Mes|Empregado do mês
Estadistica x Repartidor|Estatísticas x Dealer
Retiradas Empleados|Empregados retirados
Relacion Envios Cocina contra Ventas|Relacionamento de Transporte Cozinha vs. Vendas
Formato Din-A4|Formato Din-A4
Formato Ticket|Formato do bilhete
Total Diario de Retiradas|Retirada diária total
Ventas x Zonas|Vendas x áreas
Caja Total x Dias|Caixa Total x Dias
Gastos de Caja|Despesas em dinheiro
Descuentos Realizados|Descontos feitos
Ventas en el mes (Acumulado x Horas)|Vendas no mês (acumulado x horas)
Reservas Hora/Dia /Mes|Hora de Reservas / Dia / Mês
Ventas x Empleados|Vendas x funcionários
Impuestos Repercutidos|Impostos Tributados
Gastos|Despesas
Relacion de Propinas|Tip Ratio
Ventas x Menus|Vendas x Menus
Resumen Contable de Facturas|Resumo da contabilidade da fatura
Productos mas Vendidos|Produtos Mais Vendidos
Productos Sin Ventas|Produtos sem vendas
Ventas x Horas|Vendas x horas
Resumen de Venta x Empleados|Resumo da venda x funcionários
Ventas Detalladas x Empleados|Vendas detalhadas x funcionários
Ventas Eliminadas y Descuentos|Vendas Excluídas e Descontos
Ventas x Zonas -Totalizado x Productos|Vendas x Áreas -Totalizadas x Produtos
Ventas Generales x Dia|Vendas Gerais x Dia
Ventas x Familias|Vendas x Famílias
Ventas x Zonas Formato General|Formato geral de vendas x áreas
Ventas x Forma de Pago|Vendas x forma de pagamento
Ventas Formato Ticket Resumido|Formato de ticket de resumo de vendas
Ventas Formato Ticket x Empleado|Formato de venda Ticket x Employee
Productos Bajo Minimos Formato Ticket|Produtos sob ticket de formato mínimo
Ventas Eliminadas Formato Ticket|Ticket de formato de vendas excluídas
Cierres de Caja Formato Ticket|Bilhete de formato de fechamentos de caixa
Ventas Formato Ticket Detallado|Formato de ticket detalhado de vendas
Subproductos|Subprodutos
Eliminar Datos de Prueba|Excluir dados de teste
Configuracion Empresa|Configuração da empresa
Datos de la Factura|Dados de fatura
Ultimo Nro. Utilizado = |Último Não Usado
Factura Numero|Número da conta
Numeracion de factura|Número da fatura
No Incluidos|Não incluído
Incluidos|Incluído
Impuestos|Impostos
Ancho A5 (14cm)|Largura A5 (14cm)
Ancho 10 cm|Largura 10 cm
Ancho A4 (21cm)|Largura A4 (21cm)
Formato de Factura|Formato de fatura
Logo de la Empresa|Logotipo da empresa
Pagina Web|Pagina web
Direccion|Endereço
Pais|Country
Codigo Postal|Código postal
Detalles de la Empresa|Detalhes da empresa
Recuerde que en la carpeta indicada en la linea superior tiene que existir el archivo nomprog.|Lembre-se que na pasta indicada na linha superior deve existir o arquivo nomprog.
Paso1: Confirme que todos sus equipos esten conectados en red.  Paso2: De todos los equipos que tiene, tiene que seleccionar uno que va a hacer de servidor.  Paso3: El equipo que hara de servidor tiene que tener el disco C compartido y con los permiso|Passo 1: Confirme se todos os seus computadores estão conectados em uma rede. Passo 2: De todo o equipamento que você tem, você tem que selecionar um que vai ser um servidor. Passo 3: A equipe que fará o servidor deve ter o disco compartilhado C e com a permissão
Nota: Localice el equipo que hara de servidor que la base de datos la encontrara en |Nota: Localize o computador que fará com que o servidor o banco de dados o encontre
Conectar con la base de datos|Conecte-se com o banco de dados
Como tiene que poner su equipo  en modo red local (varios equipos)|Como colocar seu computador no modo de rede local (vários computadores)
Conexion con otro Terminal|Conexão com outro terminal
Permisos de Usuario|Permissões do usuário
Seleccione el empleado al que va a configurar permisos|Selecione o empregado para quem você irá definir permissões
Cambio Guardado|Mudança salva
Cambio de Clave|Mudança de Senha
* Maximo 8 caracteres|* Máximo de 8 caracteres
Confirmacion|Confirmação
Nueva|Novo
Antigua|Antígua
Cambiar Contraseña|Alterar senha
Cambios guardados|Mudanças salvas
Aplicar Cambios para este Empleado|Aplicar alterações para este funcionário
Borrar Restricciones|Excluir restrições
Opciones configurables|Opções configuráveis
NO Permite acceso al modulo|NÃO Permite acesso ao módulo
Permite acceso al modulo|Permite acesso ao módulo
Seleccione su pais|Selecione seu país
Nombre del Impuesto (IVA, IGIC, IGV, etc.)|Nome do Imposto (IVA, IGIC, IGV, etc.)
Si en su pais no se aplica esta normativa, NO ACTIVE esta opcion|Se este regulamento não se aplicar no seu país, NÃO ative esta opção
