    Buscar Por Nombre:|search by name
Borrando|Erasing
BORRAR|DELETE
Borrar Restricciones|Delete Restrictions
Btc 1 BitCoin = |Btc 1 BitCoin =
Buenos Aires - Argentina|Buenos Aires, Argentina
Buscar Cliente|Search Customer
C. P.|C. P.
C. Postal|C. Postal
C. Postal:|C. Postal:
Cabecera  Ticket|Ticket Header
Caja - Ropero|Box - Wardrobe
Caja Inicial:|Initial Cash:
Caja Total x Dias|Total Box x Days
Cambiar Contraseña|Change Password
Cambiar Idioma / Change Language|Change Language / Change Language
Cambio|Change
Cambio de Clave|Key change
Cambio de contraseña de direccion|Change of address password
Cambio de equipo informatico, cambio de disco duro, formateo de disco duro, etc...|Change of computer equipment, hard disk change, hard disk format, etc ...
Cambio Guardado|Saved Change
Cambio Precio|Change Price
Cambios guardados|Changes saved
Cantidad de clientes que cumplen las condiciones|Number of clients that meet the conditions
CantidaddeIngredientes|Amount of Ingredients
caracteres por linea|characters per line
Cargar monedas de la Zona Euro|Load coins from the Euro Zone
Cena|Dinner
Centrado|Centered
Cerrar|Close
Cerrar Venta|Close Sale
Cerrar Ventas/Imprimir|Close Sales / Print
Chart1|Chart1
CHR$|CHR $
Cierre Año|Year close
Cierre De Caja|Close the box
Cierres de Caja Formato Ticket|Cashier Closures Format Ticket
CIF|CIF
Cif / Dni|CIF / Dni
CIF / DNI:|CIF / DNI:
Clave:|Key:
Clic para cambiar Imagen|Click to change Image
Click sobre la linea para añadir una traduccion|Click on the line to add a translation
Cliente|Client
Cliente entrega Efectivo|Cash delivery customer
Cliente paga con Tarjeta|Customer pays with Card
Cliente:|Client:
Clientes Seleccionados|Selected Clients
Cobrar|Charge
Cobro Parcial|Partial Collection
Cocina|Kitchen
Cod Promocion: XXXXX|Cod Promotion: XXXXX
codCliente|codClient
Codigo Barras|Barcode
Codigo Cliente|Client Code
Codigo Postal|Postal Code
Código Postal:|Postal Code:
Codigo Precio|Price Code
codigoempleado|employee code
Codigoproducto|Product code
Color en Caja:|Color in Box:
Color Salon|Color Salon
COM 1|COM 1
COM 2|COM 2
COM 3|COM 3
COM 4|COM 4
comercial@gratisoft.com|comercial@gratisoft.com
Como tiene que poner su equipo  en modo red local (varios equipos)|How to put your computer in local network mode (several computers)
Con este boton cambiara el tamaño de la ventana.|With this button, you will change the size of the window.
Concepto del gasto|Spending concept
Condiciones|Terms
Conectar con la base de datos|Connect with the database
Conexion con dispositivo movil - android|Connection with mobile device - android
Conexion con otro Terminal|Connection with another Terminal
Conexion en Red|Network Connection
Configuracion Correo|Mail Configuration
Configuracion de Apertura de Cajon|Cajon Opening Configuration
Configuracion de Cajetin|Cajetin Configuration
Configuracion de corte automatico al final del ticket:|Automatic cutting configuration at the end of the ticket:
Configuracion de Impresoras|Printer Configuration
Configuracion Empresa|Company Configuration
CONFIGURACION OPCIONES CAJA|CONFIGURATION BOX OPTIONS
Configurar Email|Configure Email
Confirmacion|Confirmation
Confirme la contraseña|Confirm the password
Consumo|Consumption
Consumo de Platos Menu|Dish Consumption Menu
Conteo y cierre de caja|Counting and closing of cash
Contraseña Director|Director password
Copiar Emails seleccionados  para envio manual|Copy selected emails for manual delivery
Correo  Electrónico:|Email:
Correo de Contacto|Contact Email
Correo Electrónico:|Email:
Costa Rica|Costa Rica
Coste:|Cost:
Courier New|Courier New
CP|CP
Crear nueva o modificar una lista de precios existente|Create new or modify an existing price list
Crear Plantillas|Create Templates
Crear Plantillas Reservas|Create Templates Reservations
Crear/Modificar Salones|Create / Modify Rooms
Ctrl+C para copiar los correos de esta lista para hacer un envio desde la aplicacion de correo electronico (gmail, hotmail, etc...) que desee.|Ctrl + C to copy the emails from this list to make a shipment from the email application (gmail, hotmail, etc ...) that you want.
Cuerpo del Mensaje|Message body
Cumpleaños|birthday
Cuota|Share
D. F. - Mexico|D. F. - Mexico
datos|data
Datos de Cabecera|Header data
Datos de la empresa|Company data
Datos de la Factura|Invoice data
Datos de la Familia|Family Data
Datos de la SubFamilia|Data of the SubFamily
Datos del  Cliente|Client data
datos familia generica|generic family data
datos generica|generic data
datos subfamilia|subfamily data
dd|dd
DD/MM/AAAA   HH:MM|DD / MM / YYYY HH: MM
Deja en Caja :|Leave in Box:
Desayuno|Breakfast
Descripcion|Description
Descripcion  Numerica:|Numerica description:
Descripcion Numerica|Numerica description
Descripcion Numerica:|Numerica description:
Descuento|Discount
Descuento %|Discount%
Descuento a aplicar|Discount to apply
Descuentos Realizados|Discounts made
Desglose Impuesto|Tax Breakdown
Destinatario|Addressee
Detalles de la Empresa|Company details
Detalles del  Ticket|Ticket details
Detalles del Pedido|Order details
Devolucion|Return
Dia|Day
Dia de Pago:|Payday:
Dia de Visita:|Visit day:
Direcccion|Direction
Direccion|Address
Direccion:|Address:
Dirección:|Address:
Diseñar Plantilla reserva|Design Template book
Diseño|Design
Diseño de salon|Salon design
Diseño de Salones|Design of Rooms
Diseño de Ticket|Ticket design
Diseño Salon|Salon Design
Diseño Ticket|Ticket Design
Diseño Ticket / Factura|Ticket Design / Invoice
DNI|ID
DNI / CIF|DNI / CIF
DNI/ CIF|DNI / CIF
Elementos para  el diseño|Elements for design
Eliminar Datos de Prueba|Delete Test Data
Eliminar Diseño Salon|Remove Design Salon
Eliminar Impresoras de este teminal|Remove Printers from this terminal
Eliminar Mesa|Remove Table
Eliminar Objeto|Delete Object
Eliminar Venta Ya Cobrada|Delete Sale Already Collected
Email:|E-mail:
Email: *|Email: *
E-mail: compras@tpvgratuito.com   www.tpvgratuito.com|E-mail: compras@tpvgratuito.com www.tpvgratuito.com
Emails Seleccionados|Selected Emails
Empleado del Mes|Employee of the Month
Empleado:|Employee:
En algunos paises la normativa indica que el numero de facturas tiene que ir precedido por una serie de identificadores.|In some countries, regulations indicate that the number of invoices must be preceded by a series of identifiers.
Entrada + consumicion|Entry + consumption
Entrada Seleccionada|Selected entry
Entrada Seleccionada:|Selected entry:
Entrar en modo Direccion|Enter in Address mode
Entrega|Delivery
Entrega cliente|Customer delivery
enviado|sent
Enviados:|Sent:
Enviando Emails|Sending Emails
Enviar|Submit
Enviar a cocina|Send to kitchen
Enviar Confirmacion Reserva|Send Confirmation Reservation
Enviar Email a Clientes Seleccionados|Send Email to Selected Clients
Enviar email al director / cierre caja|Send email to director / close box
Enviar ticket Correo Electronico|Send ticket E-mail
Envio|Shipping
Envio Informes|Shipping Reports
Envio Promocion|Shipping Promotion
Envio Puntual|Timely Shipping
Envio Puntual de Correo|Mail Sending
Es el lugar donde queremos que se  muestre el producto en caja cuando hacemos clic sobre su familia.|It is the place where we want to show the product in the box when we click on your family.
Escriba aqui su comentario del final de ticket|Write your comment of the ticket end here
ESPACIO|SPACE
Está a punto de realizar la restauración de sus copias de seguridad de sus bases de datos.  Para ello deberá localizar su copia de seguridad en su disco duro o en su modulo de memoria extraible.  Dicha operación demorará unos segundos, una vez finaliz|You are about to restore your backup copies of your databases. To do this you must locate your backup copy on your hard drive or removable memory module. Said operation will take a few seconds, once it has finished
Esta a punto de restaurar una copia de seguridad, recuerde que este proceso es irreversible y cambiara la base de datos con la que trabaja en estos momentos por la seleccionada |You are about to restore a backup, remember that this process is irreversible and will change the database with which you are currently working for the selected one
Esta diseñando el:|Is designing the:
Esta familia no tiene productos relacionados|This family has no related products
Esta zona la voy a utilizar para|I will use this area to
Estadistica x Repartidor|Statistics x Dealer
Estadisticas|Statistics
F.Pago|F. Payment
Fact. Simpli:|Fact. Simpli:
Factura|bill
Factura Numero|Bill Number
Facturas|Bills
Familia a la que pertenece|Family to which it belongs
Familia Generica|Generic Family
Familia Tipo Menu|Family Type Menu
Familia Tipo Menu Combo|Family Type Menu Combo
Fecha|Date
Fecha Alta|Date High
Fecha de Caducidad:|Date of Expiry:
Fecha de creacion:  XXX|Date of creation: XXX
Fecha de creacion: XXX|Date of creation: XXX
Fecha de Instalacion:|Instalation date:
Fecha Desde|Date from
Fecha Hasta|Date Until
Fijo / Movil|Fixed / Mobile
Filtrar Clientes para Enviar Email|Filter Customers to Send Email
Forma de Pago:|Way to pay:
Formato A4|Format A4
Formato A5|Format A5
Formato de Factura|Invoice Format
Formato de Impresion|Printing Format
Formato Din-A4|Din-A4 format
Formato Hora:|Time Format:
Formato Ticket|Ticket format
Formule su Consulta|Ask your question
Foto:|Photo:
Gastos|Expenses
Gastos de Caja|Cash expenses
Gastos del Dia|Day Expenses
Gastos Del Día|Day Expenses
Gestion de Clientes|Customer Management
Gestion de Empleados|Employee Management
Gestion de Familias|Family Management
Gestion de Impresoras|Printer Management
Gestion de Productos|Product Management
Gestion de Productos Elaborados|Processed Products Management
Gestion de Proveedores|Supplier Management
Grafica de Envios|Shipping Graphics
Grafico|Graphic
GratiSoft|GratiSoft
grid_ingredientes|grid_ingredientes
grid_productosventas|grid_productosventas
Guardado Correctamente|Saved Correctly
Guardar|save
Guardar Cambios|Save Changes
Guardar Numero|Save Number
H O R A S|HOURS
H. INICIO|H. HOME
h=12 Horas (AM o PM)|h = 12 Hours (AM or PM)
h=24 Horas |h = 24 Hours
Hasta 8 decimales|Up to 8 decimals
historico ventas|historical sales
Hora|Hour
Hora de Reserva|Reservation Time
Hora Desde|Time From
Hora Hasta|Hour Until
Hora Reserva|Reserve Time
Horario|Schedule
Horario Desde|Schedule From
Horario Hasta|Schedule Up
Horas:|Hours:
id|id
Id lista|Id list
Identificacion Fiscal (Cif, Nif, Ruc, Rut, Rnc, etc.)|Tax Identification (Cif, Nif, Ruc, Rut, Rnc, etc.)
Imagen al Principio|Image at the beginning
Imagen Mesas|Picture Tables
Imagen Salon|Salon image
Importar Datos|Import Data
Importar Imagenes del Servidor|Import Images from the Server
Importe|Amount
Importe a Retirar|Amount to Withdraw
Importe Total Prendas|Total Amount Garments
Imprimir en Cocina|Print in Kitchen
Imprimir factura|Print invoice
Imprimir Letreros  y  Etiquetas |Print Signs and Labels
Imprimir Resguardo|Print Resguardo
Imprimir Ticket|Print Ticket
Impuesto:|Tax:
Impuestos|Taxes
Impuestos Incluidos|Taxes included
Impuestos Repercutidos|Taxes Taxed
Incluidos|Included
Incluir Logo|Include Logo
Indique su fecha de nacimiento|Indicate your date of birth
Indiquenos desde que sitio ha descargado este programa|Indicate from which site you have downloaded this program
INFORMACION SOBRE FACTURAS ESPECIALES|INFORMATION ON SPECIAL INVOICES
Ingredientes|Ingredients
Ingredientes Incluidos en el Producto: |Ingredients Included in the Product:
Ingrese el concepto|Enter the concept
Ingrese el nro. de percha|Enter the number of hanger
Ingrese el numero de ticket / factura|Enter the ticket number / invoice
Ingrese el segundo apellido de su madre|Enter your mother's second surname
Ingrese la contraseña anterior|Enter the previous password
Ingrese la contraseña nueva|Enter the new password
Ingrese su clave:|Enter your password:
Ingrese sus datos para poder responderle|Enter your information to be able to respond
Ingrese un codigo postal|Enter a postal code
Insertar Imagen|Insert image
Juntar Cuentas|Join Accounts
La contraseña de direccion es: |The address password is:
La contraseña y las respuestas de recordatorio se han guardado correctamente.|The password and reminder responses have been saved correctly.
La impresora se ha dado de alta correctamente|The printer has successfully registered
La lista de precios que ha seleccionado esta fuera del rango actual|The price list you have selected is out of the current range
Label32|Label32
Label4|Label4
Label5|Label5
Label6|Label6
Las respuestas introducidas no son correctas|The answers entered are not correct
lb-_Empleado|lb-_Employee
Lb_stopanelproductos|Lb_stopanelproducts
lblCliente|lblClient
Le hemos asignado  20 correos gratis|We have assigned you 20 free emails
Libre|Free
Lima - Peru|Lima Peru
Limpiar|Clean
Lineas en blanco al final del ticket = |Blank lines at the end of the ticket =
lineas sin traducir|untranslated lines
Lista de clientes|Client list
Lista de correos seleccionados|List of selected emails
Lista de Familias|List of Families
Lista de las ultimas ventas|List of the latest sales
Lista de Precios|Price list
Lista de Precios Existentes|Existing Price List
Lista de Salones - Barras|List of Rooms - Bars
lista productos|list products
Lista Ultimos 50 Clientes|Last 50 Customers List
Listado de Clientes|List of Clients
Listado de Empleados|List of Employees
Listado de Familias|List of Families
Listado de Productos|List of Products
Listado de Proveedores|List of Providers
Listados Caja|Listings Box
Listados Generales|General Listings
Listas activa en este terminal|Active lists in this terminal
Listas de Precios|Price Lists
Listas de precios no activa|Price lists not active
Logo de la Empresa|Company logo
LPT 1|LPT 1
LPT 2|LPT 2
Madrid - España|Madrid Spain
Mantenimiento registrado hasta:|Registered maintenance up to:
Marca de Impresora|Printer Brand
Marcar Todos|Mark All
Max. 20|Max. twenty
Maximo 8 caracteres|Maximum 8 characters
Mayor que|Greater than
Menor que|Smaller than
Mensaje|Message
Mensaje Enviado|Message sent
Mes|Month
MESA|TABLE
Mesas|Tables
MESAS =|TABLES =
Mi impresora imprime|My printer prints
Miami - Florida|Miami Florida
Modelo de Impresora|Printer Model
Modificacion de Tickets|Modification of Tickets
Modificar Datos|Modify data
Moneda|Coin
Mostrar clientes|Show clients
Mostrar en Pantalla de Caja:|Show in Box Screen:
Mostrar P. Unitario|Show P. Unitary
Movil|Mobile
Móvil / Celular:|Mobile phone:
NIF/ CIF:|NIF / CIF:
NNNNNNNNN|NNNNNNNNN
No|Do not
NO BORRAR|DO NOT DELETE
No ha seleccionado ningun empleado|You have not selected any employee
No hay datos para ser mostrados|There is no data to be shown
No Incluidos|Not included
No Movimiento|No movement
NO Permite acceso al modulo|NO Allows access to the module
Nombre  del Banco:|Name of the bank:
Nombre (click para seleccionar/desactivar)|Name (click to select / deactivate)
Nombre de la Empresa|Company name
Nombre de la lista|Name of the list
Nombre de Usuario|Username
Nombre del Banco|Name of the bank
Nombre del Impuesto (IVA, IGIC, IGV, etc.)|Name of the Tax (VAT, IGIC, IGV, etc.)
Nombre del Producto:|Product name:
Nombre del Visor:|Viewer Name:
Nombre Empresa|Company name
Nombre Plantilla|Template Name
nombre restaurante|restaurant name
nombreproducto|productname
Nota: Es posible que la impresora realice el corte sin tener que añadir ninguna secuencia de apertura, en ese caso no hace falta que configure esta opcion|Note: It is possible that the printer makes the cut without having to add any opening sequence, in that case you do not need to configure this option
Nota: Esta opcion solo esta pensado para aquellos clientes que en su pais el valor de sus monedas es diferente al establecido para la zona Euro.|Note: This option is only intended for those customers who in their country the value of their currencies is different to that established for the Euro zone.
Nota: Localice el equipo que hara de servidor que la base de datos la encontrara en |Note: Locate the computer that will make the server the database will find it in
Nro comensales|No diners
Nro de Comensales|Number of Diners
Nro de Mesas:|No. of Tables:
Nro Prendas|No. Garments
Nro Venta/Pie de Ticket|No Sale / Foot of Ticket
Nro. de caracteres de su impresora|No. of characters of your printer
Nro. de copias del preticket|No. of pre-ticket copies
Nro. de copias del ticket|No. of copies of the ticket
Nro. de Decimales que quiero utilizar|No. of Decimals that I want to use
Nueva|New
Nueva Plantilla|New Template
Nueva Reserva|New reservation
Nuevo Cliente|New client
Nuevo Precio|New price
Num S.S.:|Num S.S .:
Num total de operaciones de este terminal|Total number of operations of this terminal
Num total operaciones contado|Total transactions counted
Num total operaciones otras formas pago|Num total operations other forms payment
Num total operaciones tarjeta|Num total card operations
Num. Visita|Visit number
Numeracion de factura|Invoice number
Número de  Cuenta:|Account number:
Numero de credito fiscal|Tax credit number
Número de Cuenta:|Account number:
Numero de decimales ( 0,1,2)|Number of decimals (0,1,2)
Número de tipos de moneda a utilizar:|Number of currency types to be used:
