Configuracion Inicial|Configurazione iniziale
- Tpv 123 - Gratuito recomienda la compra, para el buen funcionamiento del programa, de una impresora de tickets EPSON/SAMSUNG/Star o cualquier modelo de impresora, siempre que se instale junto con los drivers de dicha impresora. (Tipo de conexion recomen|- TPV 123 - Free raccomanda l'acquisto, per il corretto funzionamento del programma, una stampante di scontrini EPSON / SAMSUNG / Star o modello di stampante, a condizione che sia installato con i driver per quella stampante. (Tipo di connessione recomen
- Este es un programa estandar, no se hacen modificaciones a medida o personalizaciones, nuestros clientes en version BASICA y COMPLETA si pueden sugerirnos algunos cambios que nosotros sin ningun coste añadido incluiremos en siguientes versiones.|- Si tratta di un programma standard, senza modifiche o personalizzazioni come lo sono i nostri clienti in versione base e completa se si può suggerire alcune modifiche che non abbiamo aggiunto costo includere nelle versioni successive.
- Si usted esta utilizando la version GRATUITA y necesita algun tipo de asistencia recuerde que tiene que contratar la version BASICA o COMPLETA dependiendo de su incidencia.|- Se stai utilizzando la versione GRATUITA e hai bisogno di assistenza, ricorda che devi contrarre la versione BASIC o COMPLETA in base alla tua incidenza.
Al instalar este programa,usted acepta las siguientes condiciones:|Installando questo programma, accetti le seguenti condizioni:
CONDICIONES DE USO DEL PROGRAMA|CONDIZIONI DI UTILIZZO DEL PROGRAMMA
Promociones Fast Food|Promozioni fast food
Zonas|aree
SubFamilias|sottofamiglie
Productos Elaborados|Prodotti trasformati
Productos|produrre
Familias|famiglie
Varios Precios|Vari prezzi
Formas de Pago|Forme di pagamento
Empleados|personale
Clientes|clienti
Proveedores|fornitori
Aceptar|accettare
Cancelar|annullare
Eliminar|rimuovere
Modificar|cambiamento
Nuevo|nuovo
No Movimiento|Nessun movimento
Productos relacionados con el proveedor:|Prodotti relativi al fornitore:
Dia de Visita:|Visita il giorno:
Número de Cuenta:|Numero di conto:
Nombre del Banco|Nome della banca
Dia de Pago:|Giorno di pagamento:
Forma de Pago:|Metodo di pagamento:
Observaciones:|osservazioni:
Correo Electrónico:|E-mail:
Móvil / Celular:|Cellulare / cellulare:
Teléfono:|telefono:
Dirección:|indirizzo:
Población:|popolazione:
Código Postal:|Codice postale:
Provincia:|Provincia:
País:|paese:
DNI / CIF|DNI / CIF
Contacto:|contattare:
Nombre|nome
Gestion de Proveedores|Gestione dei fornitori
Lista de Proveedores|Elenco dei fornitori
Ver Ingredientes|Vedi ingredienti
Ver Productos Venta|Vedi la vendita dei prodotti
Zona:|zona:
    Buscar Por Nombre:|    Cerca per nome:
Codigoproducto|Prodotto Codigo
Barra|bar
Cocina|cucina
Ambos|entrambi
situaciongrid|situaciongrid
Posicion  en Pantalla:|Posizione dello schermo:
Ingredientes|ingredienti
Producto para Venta|Prodotto in vendita
Mostrar en Pantalla de Caja:|Mostra nella finestra di dialogo:
Precio de Venta:|Prezzo di vendita:
Impuesto:|Tasse:
grid_ingredientes|grid_ingredientes
grid_productosventas|grid_productosventas
Descripcion Numerica:|Descrizione Numerica:
Seleccionar Color:|Seleziona colore:
Insertar Imagen|Inserisci immagine
Tipo de Producto:|Tipo di prodotto:
Producto preparado en:|Prodotto preparato in:
Coste:|costo:
Stock Actual:|Stock corrente:
Stock Minimo:|Scorte minime:
Proveedor:|il fornitore:
Codigo de Barras:|Codice a barre:
Unidades de medida:|Unità di misura:
Nombre del Producto:|Nome del prodotto:
Gestion de Productos|Gestione del prodotto
Buscar|ricerca
Resultados de la Busqueda|Risultati della ricerca
panel de busqueda de clientes|pannello di ricerca del cliente
Buscar Clientes|Cerca clienti
** DOBLE CLIC EN EL CLIENTE DESEADO|** DOPPIA CLIC SUL CLIENTE DESIDERATO
Rellene algun campo para la busqueda|Compila alcuni campi per la ricerca
DNI/ CIF|DNI / CIF
Tlf Movil|Telefono cellulare
Telefono|telefono
Email|e-mail
Provincia|provincia
Poblacion|Poblacion
Apellidos|cognomi
CP|CP
Codigo Cliente|Codice cliente
situacion|situazione
Descuento %|sconto%
historico ventas|vendite storiche
datos|dati
Lista Ultimos 50 Clientes|Ultimi 50 clienti
Puerta|porta
Numero|numero
Piso|appartamento
Direcccion|STERZO
Nombre *|Nome *
situacion buscar|ricerca di situazioni
Gestion de Clientes|Gestione del cliente
Familia Tipo Menu Combo|Tipo di famiglia Menu Combo
Familia Tipo Menu|Menu tipo di famiglia
Familia Generica|Famiglia generica
Gestion de Familias|Gestione familiare
Clic sobre la familia para ver mas detalles|Clicca sulla famiglia per vedere maggiori dettagli
Lista de Familias|Elenco delle famiglie
*Pulse en la familia para ver los productos agregados a la misma|* Clicca sulla famiglia per vedere i prodotti aggiunti ad essa
Seleccione el tipo de familia|Seleziona il tipo di famiglia
Lb_stopanelproductos|Lb_stopanelproductos
Esta familia no tiene productos relacionados|Questa famiglia non ha prodotti correlati
lista productos|elenca i prodotti
Clic en el producto que desee incluir en su familia|Clicca sul prodotto che vuoi includere nella tua famiglia
Lista de Productos |Elenco dei prodotti
Añadir Productos|Aggiungi prodotti
Tipo de Familia:|Tipo di famiglia:
Label5|Label5
datos generica|dati generici
datos familia generica|dati di famiglia generici
Imagen|immagine
Datos de la Familia|Dati familiari
Mostrar en Caja |Mostra nella casella
Posicion en Pantalla|Posizione dello schermo
Descripcion Numerica|Descrizione Numerica
Productos Incluidos|Prodotti inclusi
panel menu familia|famiglia di menu del pannello
Producto incluido en otra familia|Prodotto incluso in un'altra famiglia
Productos Tercer Plato/ Postre|Terzo piatto / prodotti da dessert
Productos Segundo Plato|Prodotti seconda piastra
Productos Primer Plato|Prodotti per la prima lastra
Añadir Postre|Aggiungi dessert
Añadir Segundo|Aggiungi secondo
Añadir Primero|Aggiungi prima
Impuesto|imposta
Precio de Venta|Prezzo di vendita
tipo|tipo
NO BORRAR|NON CANCELLARE
situacion paneles|pannelli di situazione
Añadir + Productos a la SubFamilia|Aggiungi + prodotti alla sottofamiglia
Clic en el producto que desee incluir en el subproducto|Fare clic sul prodotto che si desidera includere nel sottoprodotto
Familia a la que pertenece|Famiglia a cui appartiene
datos subfamilia|dati di sottofamiglia
Datos de la SubFamilia|Dati della sottofamiglia
SubFamilias Existentes|Sottofamiglie esistenti
Num S.S.:|Num S.S .:
Repartidor:|liberatore:
Apellidos:|Cognome:
Color en Caja:|Colore nella scatola:
Número de  Cuenta:|Numero di conto:
Nombre  del Banco:|Nome della banca:
Foto:|foto:
Correo  Electrónico:|E-mail:
NIF/ CIF:|NIF / CIF:
Nombre:|nome:
Lista de Empleados|Elenco dei dipendenti
Gestion de Empleados|Gestione dei dipendenti
*clic para ver datos del producto|* clicca per vedere i dati del prodotto
top grid|griglia superiore
Sirve para que en lugar de que  aparezca una imagen en el boton  del producto aparezca un numero.|Serve in modo che, invece di apparire un'immagine sul pulsante del prodotto, venga visualizzato un numero.
alturacandidadingredientes|alturacandidadingredientes
Es el lugar donde queremos que se  muestre el producto en caja cuando hacemos clic sobre su familia.|È il luogo in cui vogliamo mostrare il prodotto nella confezione quando clicchiamo sulla tua famiglia.
nombreproducto|ProductName
Codigo|codice
CantidaddeIngredientes|Quantità di ingredienti
Cantidad|quantità
Ingredientes Incluidos en el Producto: |Ingredienti inclusi nel prodotto:
Ver Datos Completos|Vedi dati completi
¿cuantos|Quanti?
sto ingredientes|sto ingredienti
Producto Elaborado|Prodotto trasformato
Producto preparado en|Prodotto preparato in
Descripcion  Numerica:|Descrizione Numerica:
situacion izquierda|situazione a sinistra
situacion derecha|giusta situazione
alturagrid|alturagrid
Seleccione el producto o el ingrediente a utilizar|Seleziona il prodotto o l'ingrediente da utilizzare
Ver Productos|Vedi i prodotti
Gestion de Productos Elaborados|Gestione dei prodotti trasformati
Ver Ingredientes Incluidos|Vedi ingredienti inclusi
Añadir Producto|Aggiungi prodotto
Nuevo Precio|Nuovo prezzo
Precio Actual|Prezzo corrente
Añadir Nuevos Productos|Aggiungi nuovi prodotti
Producto|prodotto
Precio Original|Prezzo originale
Precios Validos entre los siguientes dias y horas|Prezzi validi tra i seguenti giorni e ore
Hora Hasta|Ora fino a
Hora Desde|Tempo da
Fecha Hasta|Data fino a
Fecha Desde|Data da
Nombre de la lista|Nome della lista
SITUACION DE LOS PANELES|SITUAZIONE DEI PANNELLI
Id lista|Lista di identificazione
Fecha de Alta|Data di registrazione
Desde|da
Hasta|su
Horario Desde|Pianifica da
Horario Hasta|Pianificare
Ver Lista|Vedi elenco
Lista de Precios Existentes|Listino prezzi esistente
Volver Lista de Precios|Indietro Listino prezzi
Lista de Precios|Listino prezzi
Productos de Barra|Prodotti di Barra
Productos de cocina|Prodotti da cucina
Esta zona la voy a utilizar para|Userò quest'area a
Zonas Existentes|Aree esistenti
Zonas de Impresion|Aree di impressione
Diseño|disegno
Otro Terminal|Altro terminale
Reservada|riservato
Ocupada|occupato
Libre|gratis
Panel Mesas|Tabelle del pannello
Mesas|tavoli
Diseño Salon|Salon Design
Reservas|prenotazioni
Salones|saloni
Reserva|riserva
Total|totale
Tablet Activada|Tablet attivato
Visor Pedidos|Visualizzatore degli ordini
Bit|po '
Pedido Telefonico|Ordine telefonico
Envio|consegna
Juntar Cuentas|Unisciti agli account
SALON|SALON
EMPLEADO|DIPENDENTE
codigoempleado|codice dipendente
PEDIDO|ORDINE
H. INICIO|H. HOME
MESA|TABELLA
Cant.|Cant.
Precio|prezzo
Primero|prima
Segundo|secondo
Postre|dessert
Desc|DESC
Num_Factura|Num_Factura
Recargo|sovrapprezzo
Producto de Menu|Prodotto di Menu
Menu|menu
Codigo del Menu|Codice menu
Servido|servito
Tipo de Impuesto|Tipo fiscale
Cod Empleado|Dipendente del merluzzo
codigo Familia|Codice famiglia
Indice|contenuto
Cod. Prod.|Cod. Prod.
Orden Menu|Menu Ordine
ZonaImpresion|Area delle impressioni
BEBIDAS/ POSTRES|BEVANDE / DOLCI
PRIMER PLATO|PRIMA PIASTRA
SEGUNDO PLATO|SECONDO PIATTO
situacion panel producto|situazione del pannello di prodotto
Opciones|opzioni
Cobrar|carica
Abrir  Cajetin|Apri Cajetin
Preticket|Preticket
Enviar a cocina|Invia alla cucina
Borrar Venta|Elimina vendita
Observ. Pedido|Ho osservato ordine
Crear/Modificar Salones|Crea / Modifica stanze
Diseño de Salones|Progettazione di camere
Elementos para  el diseño|Elementi per il design
Posicion del objeto/mesa|Posizione dell'oggetto / tabella
Eliminar Mesa|Rimuovi tabella
Eliminar Objeto|Elimina oggetto
Guardar Numero|Salva numero
Numero Mesa|Tabella dei numeri
Eliminar Diseño Salon|Rimuovi salone di design
Boton Pulsado|Pulsante pulsato
Objeto Pulsado|Oggetto pulsato
Esta diseñando el:|Sta progettando il:
Alta Salones/ Barra|Sale alte / Bar
Lista de Salones - Barras|Elenco delle camere - Bar
Recargo:|supplemento:
Posicion En Pantalla:|Posizione dello schermo:
Color Salon|Color Salon
Imagen Mesas|Tabelle di immagini
Nro de Mesas:|Numero di tabelle:
Imagen Salon|Immagine del salone
Cambiar Idioma / Change Language|Cambia lingua / Cambia lingua
Base De Datos|Database
Contraseña Director|Director password
Importar Imagenes del Servidor|Importa immagini dal server
Permisos Usuario|Autorizzazioni utente
Importar Datos|Importa dati
Cierre Año|Anno vicino
Envio Informes|Rapporti di spedizione
Conexion en Red|Connessione di rete
Aumento Precio|Aumenta il prezzo
Horario|orario
Diseño Ticket / Factura|Disegno del biglietto / fattura
Cajetin|scatola
Impresoras|stampanti
Copia de Seguridad|Copia di backup
Configuracion Regional|Impostazioni regionali
Datos de la empresa|Dati dell'azienda
situacionpaneles|situacionpaneles
Esta a punto de restaurar una copia de seguridad, recuerde que este proceso es irreversible y cambiara la base de datos con la que trabaja en estos momentos por la seleccionada |Stai per ripristinare un backup, ricorda che questo processo è irreversibile e cambierà il database con cui stai attualmente lavorando per quello selezionato
Hacer Copia de Seguridad|Crea backup
Restaurar Copia de Seguridad|Ripristina il backup
Administracion Permisos|Amministrazione delle autorizzazioni
Nro. de copias del preticket|Numero di copie pre-ticket
Nro. de copias del ticket|Numero di copie del biglietto
Centrado|centrato
OFF|OFF
ON|ON
Enviar Confirmacion Reserva|Invia conferma prenotazione
Enviar email al director / cierre caja|Invia e-mail al regista / casella di chiusura
Realizar cierre caja ciego|Eseguire la chiusura della scatola cieca
Pedir Contraseña Al Entrar Al Programa|Richiedi password quando si accede al programma
Permisos Usuarios|Autorizzazioni degli utenti
Pedir contraseña para las modificaciones / eliminaciones / descuentos ... (Para todos los empleados)|Chiedi password per modifiche / cancellazioni / sconti ... (per tutti i dipendenti)
Pedir Contraseña Apertura de Cajetin|Richiesta password Cajetin Opening
Pedir Contraseña Al Entrar Caja|Chiedi password quando si entra nella casella
Pedir Empleado Al Entrar Caja|Chiedi al dipendente quando si entra nella casella
Activar Opciones|Attiva opzioni
Pedir Contraseña|Chiedi password
Pedir Empleado X Cada Venta|Chiedi per Dipendente X Ogni vendita
Utilizar Caja Rapida|Usa Quick Box
Entrar en modo Direccion|Entra in modalità Indirizzo
¿Ha olvidado su contraseña?|Hai dimenticato la tua password?
No ha seleccionado ningun empleado|Non hai selezionato nessun dipendente
Ingrese su clave:|Inserisci la tua password:
SELECCIONE EL EMPLEADO|SELEZIONA IL DIPENDENTE
Nombre de la Empresa|Nome dell'azienda
Ingrese el nro. de percha|Inserisci il numero di appendiabiti
lb-_Empleado|lb-_Empleado
Cambio Precio|Cambia prezzo
Cierre De Caja|Scatola chiusa
Imprimir Resguardo|Stampa Resguardo
Imprimir Ticket|Stampa il biglietto
Abrir Cajetin|Apri Cajetin
Terminar Venta|Vendita finita
Importe Total Prendas|Quantità totale di indumenti
Entrega cliente|Consegna del cliente
Devolucion|RITORNO
Venta Anterior|Vendita precedente
Nro Prendas|No. Indumenti
Caja - Ropero|Box - Guardaroba
Entrada Seleccionada|Voce selezionata
Entrada + consumicion|Ingresso + consumo
Entrada Seleccionada:|Voce selezionata:
Seleccion De Entradas|Selezione dei biglietti
Nombre del Visor:|Nome visualizzatore:
Utilizar Visor|Usa Viewer
Eliminar Impresoras de este teminal|Rimuovi stampanti da questo terminale
La impresora se ha dado de alta correctamente|La stampante è stata registrata con successo
Seleccione la celda en la interseccion de la impresora y la zona que quiere asociar|Selezionare la cella all'intersezione della stampante e l'area che si desidera associare
Configuracion de Impresoras|Configurazione della stampante
Gestion de Impresoras|Gestione della stampante
Reenvio de Pedidos A cocina / Barra|Inoltro di ordini a cucina / bar
* click en la linea que desea reimprimir|* fai clic sulla linea che desideri ristampare
Zona Impresion|Zona di impressione
Hora|tempo
numPedido|I ordno
Fecha|data
enviado|inviato
Detalles del Pedido|Dettagli dell'Ordine
Reenviar|in avanti
NumPedido =|OrderNum =
Guardar|salvare
Descuento a aplicar|Sconto da applicare
lblCliente|lblCliente
Terminar Venta <F12>|Fine vendita <F12>
Descuento|sconto
Buscar Cliente|Cerca cliente
Cambio|cambiamento
Cliente entrega Efectivo|Cliente di consegna in contanti
Cliente paga con Tarjeta|Il cliente paga con la carta
Formato de Impresion|Formato di stampa
Formato A4|Formato A4
Formato A5|Formato A5
Tamaño 10 cm.|Dimensioni 10 cm.
Imprimir factura|Stampa la fattura
SubTotal|SubTotal
Propina|punta
Enviar ticket Correo Electronico|Invia il biglietto E-mail
Cerrar Venta|Chiudi la vendita
Imprimir en Cocina|Stampa in cucina
V E R  T I C K E T|V E R T I C K E T
Tipo de venta|Tipo di vendita
Factura|fattura
Boleta Formato Ticket|Biglietto formato biglietto
Ultima Venta|Ultima vendita
Diseño de salon|Salone di design
Eliminar Venta Ya Cobrada|Elimina la vendita già raccolta
Cobro Parcial|Collezione parziale
Reservas de Mesas|Prenotazioni al tavolo
Listados Caja|Casella di annunci
Retirada de Caja|Prelievo di contanti
Gastos del Dia|Spese giornaliere
Activar Precios para este Terminal|Attiva i prezzi per questo terminale
Reimpresion Ticket|Biglietto di ristampa
Modificacion de Tickets|Modifica dei biglietti
Conteo y cierre de caja|Conteggio e chiusura di contanti
situacion panel opciones|opzioni di situazione del pannello
panel_opciones de caja|contanti panel_opciones
CONFIGURACION OPCIONES CAJA|OPZIONI DI SCATOLA DI CONFIGURAZIONE
Regresar al idioma original|Ritorno alla lingua originale
¿Confirma que desea eliminar el siguiente registro?|Sei sicuro di voler cancellare il prossimo disco?
Idiomas|lingue
Usted ha seleccionado|Hai selezionato
Ninguno|nessuno
¿Seleccione el Idioma?|Seleziona la lingua?
Texto Traducido|Testo tradotto
Texto Original|Testo originale
id|id
Texto|testo
Traduccion|traduzione
lineas sin traducir|linee non tradotte
Click sobre la linea para añadir una traduccion|Clicca sulla linea per aggiungere una traduzione
Click sobre la linea para modificar la traduccion|Clicca sulla linea per modificare la traduzione
Texto sin traducir|Testo non tradotto
Condiciones|condizioni
Registro de Licencias|Registrazione delle licenze
Acerca de ...|Informazioni su ...
TPV Gratuito|POS gratuito
B. Aires - Argentina|B. Aires - Argentina
D. F. - Mexico|D. F. - Messico
Santiago de Chile|Santiago, Cile
Lima - Peru|Lima - Perù
Costa Rica|Costa Rica
Puerto Rico|Porto Rico
Miami - Florida|Miami - Florida
Bogota - Colombia|Bogotà - Colombia
Mantenimiento registrado hasta:|Manutenzione registrata fino a:
Fecha de Caducidad:|Data di scadenza:
Fecha de Instalacion:|Data di installazione:
TPV Gratuito, Departamento de Desarrollo|POS gratuito, dipartimento di sviluppo
Ultima actualizacion: XXX|Ultimo aggiornamento: XXX
Fecha de creacion:  XXX|Data di creazione: XXX
Proyecto: Tpv 123, Version: XXX|Progetto: Tpv 123, Versione: XXX
Paseo de Europa 7, (S.S. de los Reyes - Madrid -España)|Walk of Europe 7, (S.S. de los Reyes - Madrid-Spagna)
Buenos Aires - Argentina|Buenos Aires - Argentina
E-mail: compras@tpvgratuito.com   www.tpvgratuito.com|E-mail: compras@tpvgratuito.com www.tpvgratuito.com
Servicio de asistencia:|helpdesk:
Reg. Anual|Reg. Annuale
Usted está utilizando una licencia:|Stai utilizzando una licenza:
SolverMedia|SolverMedia
SolverMedia, Departamento de Desarrollo|SolverMedia, Development Department
Fecha de creacion: XXX|Data di creazione: XXX
Proyecto: Servidor Net, Version: XXX|Progetto: Net Server, Versione: XXX
No hay datos para ser mostrados|Non ci sono dati da mostrare
Listado de Empleados|Elenco dei dipendenti
Listado de Familias|Elenco delle famiglie
Listados Generales|Annunci generali
Ventas NCF Rep. Dominicana|Vendite NCF Rep. Dominicana
Ventas con Promociones|Vendite con promozioni
Productos Bajo Minimo|Prodotti minimi minimi
Reimprimir Factura - Ticket|Ristampa la fattura - Biglietto
Ventas x Clientes|Vendite x Clienti
Imprimir Letreros  y  Etiquetas |Stampa segni ed etichette
Estadisticas|statistica
Valoracion Stock x Proveedores|Scorte di valutazione x Fornitori
Valoracion Stock General|Valutazione generale delle scorte
Listado de Proveedores|Elenco dei fornitori
Listado de Clientes|Elenco dei clienti
Listado de Productos|Elenco dei prodotti
Servicios a Domicilio|Servizi domestici
Consumo de Platos Menu|Menu di consumo del piatto
Reservas x Dia|Prenotazioni x giorno
Pedidos Realizados a Proveedor|Ordini fatti al fornitore
Empleado del Mes|Impiegato del mese
Estadistica x Repartidor|Statistiche x rivenditore
Retiradas Empleados|Dipendenti ritirati
Relacion Envios Cocina contra Ventas|Rapporto di spedizione Cucina vs. Vendite
Formato Din-A4|Formato Din-A4
Formato Ticket|Formato del biglietto
Total Diario de Retiradas|Prelievi giornalieri totali
Ventas x Zonas|Vendite x aree
Caja Total x Dias|Totale casella x giorni
Gastos de Caja|Spese in contanti
Descuentos Realizados|Sconti fatti
Ventas en el mes (Acumulado x Horas)|Vendite nel mese (Ore x accumulate)
Reservas Hora/Dia /Mes|Prenotazioni ora / giorno / mese
Ventas x Empleados|Vendite x dipendenti
Impuestos Repercutidos|Tasse tassate
Gastos|spese
Relacion de Propinas|Rapporto di punta
Ventas x Menus|Vendite x Menu
Resumen Contable de Facturas|Riepilogo contabilità fatture
Productos mas Vendidos|La maggior parte dei prodotti venduti
Productos Sin Ventas|Prodotti senza vendite
Ventas x Horas|X ore di vendita
Resumen de Venta x Empleados|Riepilogo della vendita x Dipendenti
Ventas Detalladas x Empleados|Vendite dettagliate x Dipendenti
Ventas Eliminadas y Descuentos|Vendite e sconti eliminati
Ventas x Zonas -Totalizado x Productos|Vendite x aree -Totalizzati x prodotti
Ventas Generales x Dia|Vendite generali x giorni
Ventas x Familias|Vendite x Famiglie
Ventas x Zonas Formato General|Formato generale vendite x aree
Ventas x Forma de Pago|Vendite x Forma di pagamento
Ventas Formato Ticket Resumido|Formato ticket riepilogo vendite
Ventas Formato Ticket x Empleado|Sales Format Ticket x Employee
Productos Bajo Minimos Formato Ticket|Prodotti in formato ridotto
Ventas Eliminadas Formato Ticket|Biglietto di vendita formato cancellato
Cierres de Caja Formato Ticket|Biglietto formato chiusure cassa
Ventas Formato Ticket Detallado|Formato del biglietto dettagliato delle vendite
Subproductos|sottoprodotti
Eliminar Datos de Prueba|Elimina dati di test
Configuracion Empresa|Configurazione della compagnia
Datos de la Factura|Dati della fattura
Ultimo Nro. Utilizado = |Ultimo usato No =
Factura Numero|Numero di Bill
Numeracion de factura|Numero della fattura
No Incluidos|Non incluso
Incluidos|incluso
Impuestos|tassazione
Ancho A5 (14cm)|Larghezza A5 (14 cm)
Ancho 10 cm|Larghezza 10 cm
Ancho A4 (21cm)|Larghezza A4 (21 cm)
Formato de Factura|Formato della fattura
Logo de la Empresa|Logo dell'azienda
Pagina Web|sito web
Direccion|indirizzo
Pais|paese
Codigo Postal|Codice postale
Detalles de la Empresa|Dettagli aziendali
Recuerde que en la carpeta indicada en la linea superior tiene que existir el archivo nomprog.|Ricorda che nella cartella indicata nella riga superiore deve esistere il file nomprog.
Paso1: Confirme que todos sus equipos esten conectados en red.  Paso2: De todos los equipos que tiene, tiene que seleccionar uno que va a hacer de servidor.  Paso3: El equipo que hara de servidor tiene que tener el disco C compartido y con los permiso|Passaggio 1: verificare che tutti i computer siano connessi in una rete. Step2: Di tutto l'equipaggiamento che hai, devi selezionarne uno che diventerà un server. Passaggio 3: il team che eseguirà il server deve disporre del disco condiviso C e dell'autorizzazione
Nota: Localice el equipo que hara de servidor que la base de datos la encontrara en |Nota: individuare il computer che farà in modo che il server lo trovi nel database
Conectar con la base de datos|Connettiti con il database
Como tiene que poner su equipo  en modo red local (varios equipos)|Come mettere il computer in modalità di rete locale (diversi computer)
Conexion con otro Terminal|Connessione con un altro terminale
Permisos de Usuario|Autorizzazioni utente
Seleccione el empleado al que va a configurar permisos|Seleziona il dipendente a cui hai intenzione di impostare le autorizzazioni
Cambio Guardado|Cambiamenti salvati
Cambio de Clave|Cambio di password
* Maximo 8 caracteres|* Massimo 8 caratteri
Confirmacion|conferma
