Configuracion Inicial|configuració Inicial
Productos Elaborados|productes Elaborats
Productos|productes
Familias|famílies
Varios Precios|diversos Preus
Formas de Pago|Formes de Pagament
Empleados|empleats
Clientes|clients
Proveedores|proveïdors
Aceptar|acceptar
Cancelar|Cancel
Eliminar|eliminar
Modificar|modificar
Nuevo|nou
No Movimiento|no Moviment
Productos relacionados con el proveedor:|Productes relacionats amb el proveïdor:
Dia de Visita:|Dia de Visita:
Número de Cuenta:|Número de Compte:
Nombre del Banco|Nom del Banc
Dia de Pago:|Dia de pagament:
Forma de Pago:|Forma de Pagament:
Observaciones:|Observacions:
Correo Electrónico:|Correu Electrònic:
Móvil / Celular:|Mòbil / Cel·lular:
Teléfono:|telèfon:
Dirección:|direcció:
Población:|població:
Código Postal:|Codi Postal:
Provincia:|província:
País:|país:
DNI / CIF|DNI / CIF
Contacto:|contacte:
Nombre|nom
Gestion de Proveedores|Gestió de Proveïdors
Lista de Proveedores|Llista de Proveïdors
Ver Ingredientes|veure Ingredients
Ver Productos Venta|Veure Productes Venda
Zona:|zona:
    Buscar Por Nombre:|    Cerca Per Nom:
Codigoproducto|Codigoproducto
Barra|barra
Cocina|cuina
Ambos|Tots dos
situaciongrid|situaciongrid
Posicion  en Pantalla:|Posició en Pantalla:
Ingredientes|ingredients
Producto para Venta|Producte per a Venda
Mostrar en Pantalla de Caja:|Mostra en Pantalla de Caixa:
Precio de Venta:|Preu de Venda:
Impuesto:|Impost:
grid_ingredientes|grid_ingredientes
grid_productosventas|grid_productosventas
Descripcion Numerica:|Descripció Numerica:
Seleccionar Color:|Seleccionar Color:
Insertar Imagen|inserir Imatge
Tipo de Producto:|Tipus de Producte:
Producto preparado en:|Producte preparat a:
Coste:|cost:
Stock Actual:|Stock Actual:
Stock Minimo:|Stock Mínim:
Proveedor:|proveïdor:
Codigo de Barras:|Codi de Barres:
Unidades de medida:|Unitats de mesura:
Nombre del Producto:|Nom del Producte:
Gestion de Productos|Gestió de Productes
Buscar|Cercar
Resultados de la Busqueda|Resultats de la Cerca
panel de busqueda de clientes|panell de cerca de clients
Buscar Clientes|Cercar Clients
** DOBLE CLIC EN EL CLIENTE DESEADO|** DOBLE CLIC AL CLIENT DESITJAT
Rellene algun campo para la busqueda|Ompli algun camp per a la cerca
DNI/ CIF|DNI / CIF
Tlf Movil|Tlf Mòbil
Telefono|telefono
Email|E-mail
Provincia|província
Poblacion|població
Apellidos|Cognoms
CP|CP
Codigo Cliente|Codi Client
situacion|situació
Descuento %|descompte%
historico ventas|històric vendes
datos|dades
Lista Ultimos 50 Clientes|Llista Últims 50 Clients
Puerta|porta
Numero|nombre
Piso|pis
Direcccion|Direcccion
Nombre *|nom *
situacion buscar|situació buscar
Gestion de Clientes|Gestió de Clients
Familia Tipo Menu Combo|Família Tipus Menú Combo
Familia Tipo Menu|Família Tipus Menú
Familia Generica|família Generica
Gestion de Familias|Gestió de Famílies
Clic sobre la familia para ver mas detalles|Clic sobre la família per veure mes detalls
Lista de Familias|Llista de Famílies
*Pulse en la familia para ver los productos agregados a la misma|* Premi a la família per veure els productes agregats a la mateixa
Seleccione el tipo de familia|Seleccioneu el tipus de família
Lb_stopanelproductos|Lb_stopanelproductos
Esta familia no tiene productos relacionados|Aquesta família no té productes relacionats
lista productos|llista productes
Clic en el producto que desee incluir en su familia|Clic al producte que voleu incloure a la seva família
Lista de Productos |Llista de Productes
Añadir Productos|Afegir Productes
Tipo de Familia:|Tipus de Família:
Label5|Label5
datos generica|dades generica
datos familia generica|dades família generica
Imagen|imatge
Datos de la Familia|Dades de la Família
Mostrar en Caja |Mostra en Caixa
Posicion en Pantalla|Posició en Pantalla
Descripcion Numerica|Descripció Numerica
Productos Incluidos|productes Inclosos
panel menu familia|panell menu família
Producto incluido en otra familia|Producte inclòs en una altra família
Productos Tercer Plato/ Postre|Productes Tercer Plat / Postres
Productos Segundo Plato|Productes Segon Plat
Productos Primer Plato|Productes Primer Plat
Añadir Postre|Afegir Postres
Añadir Segundo|Afegir Segon
Añadir Primero|Afegir Primer
Impuesto|Impost
Precio de Venta|Preu de Venda
tipo|tipus
NO BORRAR|NO ESBORRAR
situacion paneles|situació panells
Añadir + Productos a la SubFamilia|Afegir + Productes a la subfamília
Clic en el producto que desee incluir en el subproducto|Clic al producte que voleu incloure a l'subproducte
Familia a la que pertenece|Família a la qual pertany
datos subfamilia|dades subfamília
Datos de la SubFamilia|Dades de la subfamília
SubFamilias Existentes|subfamílies Existents
Num S.S.:|Num S.S .:
Repartidor:|repartidor:
Apellidos:|Cognoms:
Color en Caja:|Color en Caixa:
Número de  Cuenta:|Número de Compte:
Nombre  del Banco:|Nom del Banc:
Foto:|foto:
Correo  Electrónico:|Correu Electrònic:
NIF/ CIF:|NIF / CIF:
Nombre:|nom:
Lista de Empleados|Llista d'Empleats
Gestion de Empleados|Gestió d'Empleats
*clic para ver datos del producto|* Clic per veure dades del producte
top grid|top grid
Sirve para que en lugar de que  aparezca una imagen en el boton  del producto aparezca un numero.|Serveix perquè en lloc que aparegui una imatge al botó del producte aparegui un número.
alturacandidadingredientes|alturacandidadingredientes
Es el lugar donde queremos que se  muestre el producto en caja cuando hacemos clic sobre su familia.|És el lloc on volem que es mostri el producte en caixa quan fem clic sobre la seva família.
nombreproducto|nombreproducto
Codigo|Codi
CantidaddeIngredientes|CantidaddeIngredientes
Cantidad|quantitat
Ingredientes Incluidos en el Producto: |Ingredients Inclosos en el Producte:
Ver Datos Completos|Veure Dades Complets
¿cuantos|¿quants
sto ingredientes|sto ingredients
Producto Elaborado|producte Elaborat
Producto preparado en|Producte preparat en
Descripcion  Numerica:|Descripció Numerica:
situacion izquierda|situació esquerra
situacion derecha|situació dreta
alturagrid|alturagrid
Seleccione el producto o el ingrediente a utilizar|Seleccioneu el producte o l'ingredient a utilitzar
Ver Productos|veure Productes
Gestion de Productos Elaborados|Gestió de Productes Elaborats
Ver Ingredientes Incluidos|Veure Ingredients Inclosos
Añadir Producto|Afegir Producte
Nuevo Precio|nou Preu
Precio Actual|preu Actual
Añadir Nuevos Productos|Afegir Nous Productes
Producto|producte
Precio Original|preu Original
Precios Validos entre los siguientes dias y horas|Preus Valguts entre els següents dies i hores
Hora Hasta|hora Fins
Hora Desde|hora Des
Fecha Hasta|data Fins
Fecha Desde|data De
Nombre de la lista|Nom de la llista
SITUACION DE LOS PANELES|SITUACIÓ DELS PANELLS
Id lista|Aneu llista
Fecha de Alta|Data d'Alta
Desde|des
Hasta|fins
Horario Desde|horari Des
Horario Hasta|horari Fins
Ver Lista|veure Llista
Lista de Precios Existentes|Llista de Preus Existents
Volver Lista de Precios|Tornar Llista de Preus
Lista de Precios|Llista de Preus
Productos de Barra|Productes de Barra
Productos de cocina|Productes de cuina
Esta zona la voy a utilizar para|Aquesta zona la utilitzaré per
Zonas Existentes|zones Existents
Zonas de Impresion|Zones d'Impresion
Diseño|disseny
Otro Terminal|Un altre Terminal
Reservada|reservada
Ocupada|ocupada
Libre|lliure
Panel Mesas|panell Taules
Mesas|taules
Diseño Salon|disseny Salon
Reservas|reserves
Salones|salons
Reserva|Reserva
Total|total
Tablet Activada|Tablet Activada
Visor Pedidos|visor Comandes
Bit|bit
Pedido Telefonico|Comanda Telefonico
Envio|enviament
Juntar Cuentas|ajuntar Comptes
SALON|SALÓ
EMPLEADO|EMPLEAT
codigoempleado|codigoempleado
PEDIDO|COMANDA
H. INICIO|H. INICI
MESA|TAULA
Cant.|Quant.
Precio|preu
Primero|primer
Segundo|segon
Postre|postres
Desc|desc
Num_Factura|Num_Factura
Recargo|recàrrec
Producto de Menu|Producte de Menú
Menu|menú
Codigo del Menu|Codi del Menú
Servido|servit
Tipo de Impuesto|Tipus d'Impost
Cod Empleado|Cod Empleat
codigo Familia|codi Família
Indice|Índex
Cod. Prod.|Cod. Prod.
Orden Menu|ordre Menú
ZonaImpresion|ZonaImpresion
BEBIDAS/ POSTRES|BEGUDES / POSTRES
PRIMER PLATO|PRIMER PLAT
SEGUNDO PLATO|SEGON PLAT
situacion panel producto|situació panell producte
Opciones|opcions
Cobrar|cobrar
Abrir  Cajetin|obrir Caixetí
Preticket|Preticket
Enviar a cocina|Enviar a cuina
Borrar Venta|esborrar Venda
Observ. Pedido|Observ. Comanda
Crear/Modificar Salones|Crear / Modificar Salons
Diseño de Salones|Disseny de Salons
Elementos para  el diseño|Elements per al disseny
Posicion del objeto/mesa|Posició de l'objecte / taula
Eliminar Mesa|eliminar Taula
Eliminar Objeto|eliminar Objecte
Guardar Numero|Desar Nombre
Numero Mesa|nombre Taula
Eliminar Diseño Salon|Eliminar Disseny Salon
Boton Pulsado|Botó Premut
Objeto Pulsado|objecte Premut
Esta diseñando el:|Aquesta dissenyant el:
Alta Salones/ Barra|Alta Salons / Barra
Lista de Salones - Barras|Llista de Salons - Barres
Recargo:|recàrrec:
Posicion En Pantalla:|Posició Pantalla:
Color Salon|color Salon
Imagen Mesas|imatge Taules
Nro de Mesas:|Nro de Taules:
Imagen Salon|imatge Salon
Cambiar Idioma / Change Language|Canviar Idioma / Change Language
Base De Datos|Base de Dades
Contraseña Director|clau Director
Importar Imagenes del Servidor|Importa Imatges del Servidor
Permisos Usuario|permisos Usuari
Importar Datos|Importa Dades
Cierre Año|tancament Any
Envio Informes|enviament Informes
Conexion en Red|Connexió en Xarxa
Aumento Precio|augment Preu
Horario|horari
Diseño Ticket / Factura|Disseny Ticket / Factura
Cajetin|caixetí
Impresoras|impressores
Copia de Seguridad|Còpia de Seguretat
Configuracion Regional|configuració Regional
Datos de la empresa|Dades de l'empresa
situacionpaneles|situacionpaneles
Esta a punto de restaurar una copia de seguridad, recuerde que este proceso es irreversible y cambiara la base de datos con la que trabaja en estos momentos por la seleccionada |Aquesta a punt de restaurar una còpia de seguretat, recordeu que aquest procés és irreversible i canviés la base de dades amb què treballa en aquests moments per la seleccionada
Hacer Copia de Seguridad|Fer còpia de seguretat
Restaurar Copia de Seguridad|Restaurar còpia de seguretat
Administracion Permisos|Administració Permisos
Nro. de copias del preticket|Nro. De còpies del preticket
Nro. de copias del ticket|Nro. De còpies del tiquet
Centrado|centrat
OFF|OFF
ON|ON
Enviar Confirmacion Reserva|Enviar Confirmació Reserva
Enviar email al director / cierre caja|Enviar email al director / tancament caixa
Realizar cierre caja ciego|Realitzar tancament caixa cec
Pedir Contraseña Al Entrar Al Programa|Demanar Contrasenya Al Entrada A Programa
Permisos Usuarios|permisos Usuaris
Pedir contraseña para las modificaciones / eliminaciones / descuentos ... (Para todos los empleados)|Demanar contrasenya per a les modificacions / eliminacions / descomptes ... (Per a tots els empleats)
Pedir Contraseña Apertura de Cajetin|Demanar Contrasenya Obertura de Caixetí
Pedir Contraseña Al Entrar Caja|Demanar Contrasenya Al Entrada Caixa
Pedir Empleado Al Entrar Caja|Demanar Empleat A l'Entrada Caixa
Activar Opciones|Activa Opcions
Pedir Contraseña|demanar Contrasenya
Pedir Empleado X Cada Venta|Demanar Empleat X Cada Venda
Utilizar Caja Rapida|Utilitzar Caixa Rapida
Entrar en modo Direccion|Entrar a manera Direcció
¿Ha olvidado su contraseña?|¿Ha oblidat la seva contrasenya?
No ha seleccionado ningun empleado|No ha seleccionat cap empleat
Ingrese su clave:|Escriu el teu clau:
SELECCIONE EL EMPLEADO|SELECCIONI L'EMPLEAT
Nombre de la Empresa|Nom de l'Empresa
Ingrese el nro. de percha|Introduïu el nro. de perxa
lb-_Empleado|lb-_Empleado
Cambio Precio|canvi Preu
Cierre De Caja|Tancament De Caixa
Imprimir Resguardo|Imprimir Resguard
Imprimir Ticket|Imprimir Tiquet
Abrir Cajetin|obrir Caixetí
Terminar Venta|acabar Venda
Importe Total Prendas|Import Total Peces
Entrega cliente|lliurament client
Devolucion|Devolució
Venta Anterior|venda Anterior
Nro Prendas|Nro Peces
Caja - Ropero|Caixa - Rober
Entrada Seleccionada|Entrada Seleccionada
Entrada + consumicion|Entrada + consumició
Entrada Seleccionada:|Entrada Seleccionada:
Seleccion De Entradas|Selecció De Entrades
Nombre del Visor:|Nom del Visor:
Utilizar Visor|utilitzar Visor
Eliminar Impresoras de este teminal|Eliminar Impressores d'aquest teminal
La impresora se ha dado de alta correctamente|La impressora s'ha donat d'alta correctament
Seleccione la celda en la interseccion de la impresora y la zona que quiere asociar|Seleccioneu la cel·la en la interseccion de la impressora i la zona que vol associar
Configuracion de Impresoras|Configuració de Impressores
Gestion de Impresoras|Gestió de Impressores
Reenvio de Pedidos A cocina / Barra|Reenviament de Comandes A cuina / Barra
* click en la linea que desea reimprimir|* Click a la línia que voleu reimprimir
Zona Impresion|zona Impressió
Hora|hora
numPedido|numPedido
Fecha|data
enviado|enviat
Detalles del Pedido|Detalls de la comanda
Reenviar|Reenviar
NumPedido =|NumPedido =
Guardar|Desar
Descuento a aplicar|Descompte a aplicar
lblCliente|lblCliente
Terminar Venta <F12>|Acabar Venda <F12>
Descuento|descompte
Buscar Cliente|Cercar Client
Cambio|canvi
Cliente entrega Efectivo|Client lliurament Efectiu
Cliente paga con Tarjeta|Client paga amb Targeta
Formato de Impresion|Format d'Impresion
Formato A4|format A4
Formato A5|format A5
Tamaño 10 cm.|Mida 10 cm.
Imprimir factura|Imprimir factura
SubTotal|Subtotal
Propina|propina
Enviar ticket Correo Electronico|Enviar tiquet Correu Electronic
Cerrar Venta|Tancar Venda
Imprimir en Cocina|Imprimir en Cuina
V E R  T I C K E T|V E R T I C K I T
Tipo de venta|Tipus de venda
Factura|factura
Boleta Formato Ticket|Boleta Format Ticket
Ultima Venta|Ultima Venda
Diseño de salon|Disseny de saló
Eliminar Venta Ya Cobrada|Eliminar Venda Ja Cobrada
Cobro Parcial|cobrament Parcial
Reservas de Mesas|Reserves de Taules
Listados Caja|llistats Caixa
Retirada de Caja|Retirada de Caixa
Gastos del Dia|Despeses del Dia de
Activar Precios para este Terminal|Activa Preus per a aquest terminal
Reimpresion Ticket|reimpresion Ticket
Modificacion de Tickets|Modificacion de Tiquets
Conteo y cierre de caja|Recompte i tancament de caixa
situacion panel opciones|situació panell opcions
panel_opciones de caja|panel_opciones de caixa
CONFIGURACION OPCIONES CAJA|CONFIGURACIÓ OPCIONS CAIXA
Regresar al idioma original|Tornar a l'idioma original
¿Confirma que desea eliminar el siguiente registro?|¿Confirma que desitja eliminar el següent registre?
Idiomas|idiomes
Usted ha seleccionado|Vostè ha seleccionat
Ninguno|cap
¿Seleccione el Idioma?|¿Seleccioneu l'Idioma?
Texto Traducido|text Traduït
Texto Original|text Original
id|id
Texto|text
Traduccion|traducció
lineas sin traducir|línies sense traduir
Click sobre la linea para añadir una traduccion|Click sobre la línia per afegir una traduccio
Click sobre la linea para modificar la traduccion|Click sobre la línia per modificar la traducció
Texto sin traducir|Text sense traduir
Condiciones|condicions
Registro de Licencias|Registre de Llicències
Acerca de ...|Sobre ...
TPV Gratuito|TPV Gratuït
B. Aires - Argentina|B. Aires - Argentina
D. F. - Mexico|DF - Mexico
Santiago de Chile|Santiago de Xile
Lima - Peru|Lima - Peru
Costa Rica|Costa Rica
Puerto Rico|port Ric
Miami - Florida|Miami - Florida
Bogota - Colombia|Bogota - Colòmbia
Mantenimiento registrado hasta:|Manteniment registrat fins:
Fecha de Caducidad:|Data de caducitat:
Fecha de Instalacion:|Data d'Instalacion:
TPV Gratuito, Departamento de Desarrollo|TPV Gratuït, Departament de Desenvolupament
Ultima actualizacion: XXX|Última actualització: XXX
Fecha de creacion:  XXX|Data de creació: XXX
Proyecto: Tpv 123, Version: XXX|Projecte: Tpv 123, Version: XXX
Paseo de Europa 7, (S.S. de los Reyes - Madrid -España)|Passeig d'Europa 7, (S.S. dels Reis - Madrid -Espanya)
Buenos Aires - Argentina|Buenos Aires - Argentina
E-mail: compras@tpvgratuito.com   www.tpvgratuito.com|Correu electrònic: compras@tpvgratuito.com www.tpvgratuito.com
Servicio de asistencia:|Servei d'assistència:
Reg. Anual|Reg. Anual
Usted está utilizando una licencia:|Vostè utilitzeu una llicència:
SolverMedia|SolverMedia
SolverMedia, Departamento de Desarrollo|SolverMedia, Departament de Desenvolupament
Fecha de creacion: XXX|Data de creació: XXX
Proyecto: Servidor Net, Version: XXX|Projecte: Servidor Net, Version: XXX
No hay datos para ser mostrados|No hi ha dades per a ser mostrats
Listado de Empleados|Llistat d'Empleats
Listado de Familias|Llistat de Famílies
Listados Generales|llistats Generals
Ventas NCF Rep. Dominicana|Vendes NCF Rep. Dominicana
Ventas con Promociones|Vendes amb Promocions
Productos Bajo Minimo|Productes Sota Minimo
Reimprimir Factura - Ticket|Reimprimir Factura - Ticket
Ventas x Clientes|Vendes x Clients
Imprimir Letreros  y  Etiquetas |Imprimir Rètols i Etiquetes
Estadisticas|Estadístiques
Valoracion Stock x Proveedores|Valoració Stock x Proveïdors
Valoracion Stock General|Valoració Stock General
Listado de Proveedores|Llistat de Proveïdors
Listado de Clientes|Llistat de Clients
Listado de Productos|Llistat de Productes
Servicios a Domicilio|Serveis a Domicili
Consumo de Platos Menu|Consum de Plats Menú
Reservas x Dia|Reserves x Dia
Pedidos Realizados a Proveedor|Comandes Realitzats a Proveïdor
Empleado del Mes|Empleat del Mes
Estadistica x Repartidor|Estadistica x Repartidor
Retiradas Empleados|retirades Empleats
Relacion Envios Cocina contra Ventas|Relacion Enviaments Cuina contra Vendes
Formato Din-A4|Format Din-A4
Formato Ticket|format Ticket
Total Diario de Retiradas|Total Diari de Retirades
Ventas x Zonas|Vendes x Zones
Caja Total x Dias|Caixa Total x Dies
Gastos de Caja|Despeses de Caixa
Descuentos Realizados|descomptes Realitzats
Ventas en el mes (Acumulado x Horas)|Vendes al mes (acumulat x Hores)
Reservas Hora/Dia /Mes|Reserves Hora / Dia / Mes
Ventas x Empleados|Vendes x Empleats
Impuestos Repercutidos|Impostos repercutits
Gastos|despeses
Relacion de Propinas|Relacion de propines
Ventas x Menus|Vendes x Menús
Resumen Contable de Facturas|Resum Comptable de Factures
Productos mas Vendidos|Productes més venuts
Productos Sin Ventas|Productes Sense Vendes
Ventas x Horas|Vendes x Hores
Resumen de Venta x Empleados|Resum de Venda x Empleats
Ventas Detalladas x Empleados|Vendes amb Detall x Empleats
Ventas Eliminadas y Descuentos|Vendes Eliminades i Descomptes
Ventas x Zonas -Totalizado x Productos|Vendes x Zones -Totalizado x Productes
Ventas Generales x Dia|Vendes Generals x Dia
Ventas x Familias|Vendes x Famílies
Ventas x Zonas Formato General|Vendes x Zones Format general
Ventas x Forma de Pago|Vendes x Forma de Pagament
Ventas Formato Ticket Resumido|Vendes Format Ticket Resumit
Ventas Formato Ticket x Empleado|Vendes Format Ticket x Empleat
Productos Bajo Minimos Formato Ticket|Productes Sota Minimos Format Ticket
Ventas Eliminadas Formato Ticket|Vendes Eliminades Format Ticket
Cierres de Caja Formato Ticket|Tancaments de Caixa Format Ticket
Ventas Formato Ticket Detallado|Vendes Format Ticket Detallat
Subproductos|subproductes
Eliminar Datos de Prueba|Eliminar Dades de Prova
Configuracion Empresa|configuració Empresa
Datos de la Factura|Dades de la Factura
Ultimo Nro. Utilizado = |Darrer Nro. Utilitzat =
Factura Numero|factura Nombre
Numeracion de factura|Numeracion de factura
No Incluidos|no Inclosos
Incluidos|inclosos
Impuestos|Impostos
Ancho A5 (14cm)|Ample A5 (14cm)
Ancho 10 cm|Ample 10 cm
Ancho A4 (21cm)|Ample A4 (21cm)
Formato de Factura|Format de Factura
Logo de la Empresa|Logotip de l'Empresa
Pagina Web|pàgina Web
Direccion|Direcció
Pais|país
Codigo Postal|Codi postal
Detalles de la Empresa|Detalls de l'Empresa
Recuerde que en la carpeta indicada en la linea superior tiene que existir el archivo nomprog.|Recordeu que a la carpeta indicada a la línia superior ha d'existir l'arxiu nomprog.
Paso1: Confirme que todos sus equipos esten conectados en red.  Paso2: De todos los equipos que tiene, tiene que seleccionar uno que va a hacer de servidor.  Paso3: El equipo que hara de servidor tiene que tener el disco C compartido y con los permiso|Pas1: Confirmeu que tots els seus equips estiguin connectats en xarxa. Pas2: De tots els equips que té, ha de seleccionar un que va a fer de servidor. Pas3: L'equip que farà de servidor ha de tenir el disc C compartit i amb els permís
Nota: Localice el equipo que hara de servidor que la base de datos la encontrara en |Nota: Localitzeu l'equip que farà de servidor que la base de dades la trobés en
Conectar con la base de datos|Connectar amb la base de dades
Como tiene que poner su equipo  en modo red local (varios equipos)|Com ha de posar el seu equip en mode xarxa local (diversos equips)
Conexion con otro Terminal|Conexion amb un altre terminal
Permisos de Usuario|Permisos d'Usuari
Seleccione el empleado al que va a configurar permisos|Seleccioneu l'empleat al qual va a configurar permisos
Cambio Guardado|canvi Saved
Cambio de Clave|Canvi de Clau
* Maximo 8 caracteres|* Màxim 8 caràcters
Confirmacion|Confirmació
Nueva|Nova
Antigua|antiga
Cambiar Contraseña|canviar Contrasenya
Cambios guardados|canvis guardats
Aplicar Cambios para este Empleado|Aplica els Canvis per a aquest Empleat
Borrar Restricciones|esborrar Restriccions
Opciones configurables|opcions configurables
NO Permite acceso al modulo|NO Permet accés al mòdul
Permite acceso al modulo|Permet accés al mòdul
Seleccione su pais|Seleccioni el seu pais
