Configuracion Inicial|Hasierako konfigurazioa
- La empresa Tpv 123 - Gratuito no es responsable si el cliente formatea el equipo o es atacado por algun tipo de virus que provoque la perdida de informacion o de licencia.|- Tpv 123 enpresak - Gratuito konpainiak ez du erantzukizunik bezeroak ekipamendua formateatzen badu edo informazio edo lizentzia galerak eragiten duen birus mota batek erasotzen badu.
- Tpv 123 - Gratuito recomienda la compra, para el buen funcionamiento del programa, de una impresora de tickets EPSON/SAMSUNG/Star o cualquier modelo de impresora, siempre que se instale junto con los drivers de dicha impresora. (Tipo de conexion recomen|- Tpv 123 - Free gomendatzen du EPSON / SAMSUNG / Star txartelaren inprimagailu baten edo inprimagailuaren modeloaren erosketa egiteko programa egokia funtzionatzeko, baldin eta inprimagailuaren kontrolatzaileekin batera instalatuta badaude. (Konexio mota berrikusi
- Este es un programa estandar, no se hacen modificaciones a medida o personalizaciones, nuestros clientes en version BASICA y COMPLETA si pueden sugerirnos algunos cambios que nosotros sin ningun coste añadido incluiremos en siguientes versiones.|- Programa estandarra da, aldaketak edo pertsonalizazio pertsonalizatuak ez dira egiten, gure bezeroek OINARRIZ eta EDUKI OSAGARRIAK bertsio hauek eskaintzen dituzten kostu gehigarririk gabeko aldaketa batzuk iradokitzen badituzte.
- Si usted esta utilizando la version GRATUITA y necesita algun tipo de asistencia recuerde que tiene que contratar la version BASICA o COMPLETA dependiendo de su incidencia.|- FREE bertsioa erabiltzen ari bazara eta laguntza behar baduzu, gogoratu BASIC edo COMPLETE bertsioa kontratatu behar duzula zure inportazioaren arabera.
Al instalar este programa,usted acepta las siguientes condiciones:|Programa hau instalatzean, honako baldintza hauek onartzen dituzu:
CONDICIONES DE USO DEL PROGRAMA|PROGRAMAREN ERABILERA BALDINTZAK
Promociones Fast Food|Elikadura azkarreko promozioak
Zonas|eremuetan
SubFamilias|azpifamilia
Productos Elaborados|Prozesatutako produktuak
Productos|ekoizteko
Familias|familiek
Varios Precios|Hainbat prezio
Formas de Pago|Ordainketa inprimakiak
Empleados|langileak
Clientes|bezeroei
Proveedores|hornitzaile
Aceptar|onartu
Cancelar|bertan behera
Eliminar|kendu
Modificar|aldaketaren
Nuevo|berriaren
No Movimiento|Mugimendua ez
Productos relacionados con el proveedor:|Hornitzailearekin lotutako produktuak:
Dia de Visita:|Bisitatu eguna:
Número de Cuenta:|Kontu zenbakia:
Nombre del Banco|Bankuaren izena
Dia de Pago:|Ordainketa Eguna:
Forma de Pago:|Ordainketa modua:
Observaciones:|behaketa:
Correo Electrónico:|E-mail:
Móvil / Celular:|Mugikorra / Zelularra:
Teléfono:|telefono:
Dirección:|helbidea:
Población:|populazio:
Código Postal:|Postal Kodea:
Provincia:|probintzia:
País:|herrialdea:
DNI / CIF|NAN / IFZ
Contacto:|jarri harremanetan:
Nombre|izen
Gestion de Proveedores|Hornitzaileen Kudeaketa
Lista de Proveedores|Hornitzaileen zerrenda
Ver Ingredientes|Ikusi osagaiak
Ver Productos Venta|Ikusi produktuak salmenta
Zona:|inguruan:
    Buscar Por Nombre:|    Bilatu izenaren arabera:
Codigoproducto|Kodeko produktua
Barra|bar
Cocina|sukaldea
Ambos|bai
situaciongrid|situaciongrid
Posicion  en Pantalla:|Pantailaren kokapena:
Ingredientes|osagai
Producto para Venta|Salmenta produktua
Mostrar en Pantalla de Caja:|Erakutsi kutxa pantailan:
Precio de Venta:|Salmenta prezioa:
Impuesto:|Zerga:
grid_ingredientes|grid_ingredientes
grid_productosventas|grid_productosventas
Descripcion Numerica:|Deskribapen numerikoa:
Seleccionar Color:|Hautatu kolorea:
Insertar Imagen|Txertatu irudia
Tipo de Producto:|Produktu mota:
Producto preparado en:|Prestatutako produktua:
Coste:|kostua:
Stock Actual:|Uneko Stock:
Stock Minimo:|Stock minimoa:
Proveedor:|hornitzaile:
Codigo de Barras:|Bar Kodea:
Unidades de medida:|Neurri unitateak:
Nombre del Producto:|Produktuen izena:
Gestion de Productos|Produktuen kudeaketa
Buscar|bilaketa
Resultados de la Busqueda|Bilaketa emaitzak
panel de busqueda de clientes|bezeroaren bilaketa panel
Buscar Clientes|Bilatu bezeroak
** DOBLE CLIC EN EL CLIENTE DESEADO|** DOAKO BIDALKETA BEZEROEN ESKUBIDEAK
Rellene algun campo para la busqueda|Bete bilaketa egiteko eremu batzuk
DNI/ CIF|NAN / IFZ
Tlf Movil|Telefono mugikorra
Telefono|telefonoz
Email|email
Provincia|probintzia
Poblacion|Población
Apellidos|abizenak
CP|CP
Codigo Cliente|Bezeroaren kodea
situacion|egoera
Descuento %|% deskontua
historico ventas|salmenta historikoak
datos|datuak
Lista Ultimos 50 Clientes|Azken 50 Bezeroen zerrenda
Puerta|atea
Numero|zenbakia
Piso|apartamentu
Direcccion|Zuzendaritza
Nombre *|Izena *
situacion buscar|egoera bilaketa
Gestion de Clientes|Bezeroaren kudeaketa
Familia Tipo Menu Combo|Familia motako menuaren konbinazioa
Familia Tipo Menu|Familia motako menua
Familia Generica|Familia generikoa
Gestion de Familias|Familia kudeaketa
Clic sobre la familia para ver mas detalles|Egin klik familiarekin xehetasun gehiago ikusteko
Lista de Familias|Familien zerrenda
*Pulse en la familia para ver los productos agregados a la misma|* Egin klik familiakoan gehitutako produktuak ikusteko
Seleccione el tipo de familia|Hautatu familia mota
Lb_stopanelproductos|Lb_stopanelproductos
Esta familia no tiene productos relacionados|Familia honek ez du zerikusia duen produkturik
lista productos|zerrendako produktuak
Clic en el producto que desee incluir en su familia|Egin klik zure familian sartu nahi duzun produktua
Lista de Productos |Produktuen zerrenda
Añadir Productos|Gehitu produktuak
Tipo de Familia:|Familia mota:
Label5|label5
datos generica|datu generikoak
datos familia generica|familiako datu generikoak
Imagen|irudi
Datos de la Familia|Familia Datuak
Mostrar en Caja |Erakutsi koadroan
Posicion en Pantalla|Pantailaren kokapena
Descripcion Numerica|Zenbakizko azalpena
Productos Incluidos|Produktu sartzen dira
panel menu familia|panel menu family
Producto incluido en otra familia|Beste familia batean sartutako produktua
Productos Tercer Plato/ Postre|Hirugarren platera / Postrea Produktuak
Productos Segundo Plato|Bigarren Plaka Produktuak
Productos Primer Plato|Lehen Plaka Produktuak
Añadir Postre|Gehitu postrea
Añadir Segundo|Gehitu bigarrena
Añadir Primero|Gehitu lehen
Impuesto|zerga
Precio de Venta|Salmenta prezioa
tipo|mota
NO BORRAR|Ez bota
situacion paneles|egoera-panelak
Añadir + Productos a la SubFamilia|Gehitu + Produktuak subfamiliara
Clic en el producto que desee incluir en el subproducto|Egin klik azpiko produktuetan sartu nahi duzun produktua
Familia a la que pertenece|Familia zein den
datos subfamilia|subfamilia datuak
Datos de la SubFamilia|Subfamilia datuak
SubFamilias Existentes|Azpi familiak
Num S.S.:|Num S.S .:
Repartidor:|askatzaile:
Apellidos:|Abizenak:
Color en Caja:|Kutxa kolorea:
Número de  Cuenta:|Kontu zenbakia:
Nombre  del Banco:|Bankuaren izena:
Foto:|Argazkia:
Correo  Electrónico:|E-mail:
NIF/ CIF:|NIF / IFZ:
Nombre:|Izena:
Lista de Empleados|Langileen zerrenda
Gestion de Empleados|Langileen kudeaketa
*clic para ver datos del producto|* Egin klik produktuaren datuak ikusteko
top grid|goiko sarea
Sirve para que en lugar de que  aparezca una imagen en el boton  del producto aparezca un numero.|Produktuaren botoiaren irudia agertzen ez den bitartean, zenbaki bat agertzen da.
alturacandidadingredientes|alturacandidadingredientes
Es el lugar donde queremos que se  muestre el producto en caja cuando hacemos clic sobre su familia.|Kaxa koadroan produktua erakutsi nahi dugun tokia da.
nombreproducto|ProductName
Codigo|kodea
CantidaddeIngredientes|Osagai kopurua
Cantidad|kantitate
Ingredientes Incluidos en el Producto: |Produktuan sartzen diren osagaiak:
Ver Datos Completos|Ikusi datu osoa
¿cuantos|Zenbat dira?
sto ingredientes|sto osagaiak
Producto Elaborado|Prozesatutako produktua
Producto preparado en|Prestatutako produktua
Descripcion  Numerica:|Deskribapen numerikoa:
situacion izquierda|ezkerreko egoera
situacion derecha|egoera zuzena
alturagrid|alturagrid
Seleccione el producto o el ingrediente a utilizar|Hautatu erabili beharreko produktua edo osagaiak
Ver Productos|Ikusi produktuak
Gestion de Productos Elaborados|Prozesatutako produktuen kudeaketa
Ver Ingredientes Incluidos|Ikusi osagaiak barne
Añadir Producto|Gehitu produktua
Nuevo Precio|Prezio berria
Precio Actual|Uneko prezioa
Añadir Nuevos Productos|Gehitu produktu berriak
Producto|Produktu
Precio Original|Jatorrizko prezioa
Precios Validos entre los siguientes dias y horas|Hurrengo egunetan eta orduetan prezio baliagarriak
Hora Hasta|Ordu arte
Hora Desde|Denbora aurrera
Fecha Hasta|Data arte
Fecha Desde|Data honetatik aurrera
Nombre de la lista|Zerrendaren izena
SITUACION DE LOS PANELES|PANELAKO EGOERA
Id lista|Id zerrenda
Fecha de Alta|Erregistroaren data
Desde|batetik
Hasta|ireki
Horario Desde|Ordutegia aurrera
Horario Hasta|Ordutegia Up
Ver Lista|Ikus zerrenda
Lista de Precios Existentes|Prezioen zerrenda
Volver Lista de Precios|Itzuli prezioa zerrendara
Lista de Precios|Prezio zerrenda
Productos de Barra|Barra produktuak
Productos de cocina|Sukaldeko produktuak
Esta zona la voy a utilizar para|Eremu hau erabiliko dut
Zonas Existentes|Eremu existitzen
Zonas de Impresion|Inpresio eremuak
Diseño|diseinua
Otro Terminal|Beste terminal
Reservada|erreserbatuta
Ocupada|lanpetuta
Libre|doan
Panel Mesas|Paneleko taulak
Mesas|taulak
Diseño Salon|Salon diseinua
Reservas|erreserbak
Salones|saloi
Reserva|erreserban
Total|guztira
Tablet Activada|Tablet aktibatuta
Visor Pedidos|Ordena ikuslea
Bit|pixka
Pedido Telefonico|Telefonoaren agindua
Envio|entrega
Juntar Cuentas|Erregistratu kontuak
SALON|SALON
EMPLEADO|LANGILE
codigoempleado|langile kodea
PEDIDO|ORDER
H. INICIO|H. HASIERA
MESA|TABLE
Cant.|Cant.
Precio|prezioa
Primero|lehenengo
Segundo|bigarren
Postre|postrea
Desc|DESC
Num_Factura|Num_Factura
Recargo|errekargua
Producto de Menu|Menu-produktua
Menu|Menu
Codigo del Menu|Menu-kodea
Servido|zerbitzatzen
Tipo de Impuesto|Zerga mota
Cod Empleado|Bakar-langilea
codigo Familia|Familia kodea
Indice|Edukiak
Cod. Prod.|Cod. Prod.
Orden Menu|Agindua menua
ZonaImpresion|Inprimatzeko eremua
BEBIDAS/ POSTRES|BEHERAPENAK / POSTREAK
PRIMER PLATO|LEHEN PLANA
SEGUNDO PLATO|SECOND PLATE
situacion panel producto|produktu panelaren egoera
Opciones|aukera
Cobrar|kobratzen
Abrir  Cajetin|Ireki kutxatila
Preticket|Preticket
Enviar a cocina|Sukaldera bidali
Borrar Venta|Ezabatu salmenta
Observ. Pedido|Ikusi dut ordena
Crear/Modificar Salones|Sortu / aldatu gelak
Diseño de Salones|Gela diseinua
Elementos para  el diseño|Diseinuko elementuak
Posicion del objeto/mesa|Objektu / taularen kokapena
Eliminar Mesa|Kendu taula
Eliminar Objeto|Ezabatu objektua
Guardar Numero|Gorde zenbakia
Numero Mesa|Zenbakiaren taula
Eliminar Diseño Salon|Kendu diseinu aretoa
Boton Pulsado|Pulsed Button
Objeto Pulsado|Pultsatutako objektua
Esta diseñando el:|Diseinatzen ari da:
Alta Salones/ Barra|Goi-aretoak / taberna
Lista de Salones - Barras|Aretoen zerrenda - Tabernak
Recargo:|errekargua:
Posicion En Pantalla:|Pantailaren kokapena:
Color Salon|Color Salon
Imagen Mesas|Irudi taulak
Nro de Mesas:|Taulen kopurua:
Imagen Salon|Salon irudia
Cambiar Idioma / Change Language|Aldatu hizkuntza / aldatu hizkuntza
Base De Datos|Database
Contraseña Director|Zuzendariaren pasahitza
Importar Imagenes del Servidor|Inportatu irudiak zerbitzaritik
Permisos Usuario|Erabiltzailearen baimenak
Importar Datos|Inportatu datuak
Cierre Año|Urte hurbila
Envio Informes|Bidalketa txostenak
Conexion en Red|Sareko konexioa
Aumento Precio|Handitu prezioa
Horario|ordutegia
Diseño Ticket / Factura|Ticket Design / Faktura
Cajetin|box
Impresoras|inprimatzaile
Copia de Seguridad|Babeskopiaren kopia
Configuracion Regional|Eskualdeko ezarpenak
Datos de la empresa|Enpresaren datuak
situacionpaneles|situacionpaneles
Esta a punto de restaurar una copia de seguridad, recuerde que este proceso es irreversible y cambiara la base de datos con la que trabaja en estos momentos por la seleccionada |Babeskopia berreskuratu nahi baduzu, gogoratu prozesu hori ezeztaezina dela eta aukeratutako unean lan egiten ari zaren datu basea aldatuko du
Hacer Copia de Seguridad|Egin babeskopia
Restaurar Copia de Seguridad|Berreskuratu babeskopia
Administracion Permisos|Baimenak Administrazioa
Nro. de copias del preticket|Pre-ticket kopiak
Nro. de copias del ticket|Txartelaren kopia kopurua
Centrado|zentratua
OFF|OFF
ON|ON
Enviar Confirmacion Reserva|Bidali baieztapenaren erreserba
Enviar email al director / cierre caja|Bidali posta elektronikoa zuzendari / itxiera koadroan
Realizar cierre caja ciego|Egin itxi itsu kutxa
Pedir Contraseña Al Entrar Al Programa|Eska ezazu pasahitza Programan sartzean
Permisos Usuarios|Erabiltzaile baimenak
Pedir contraseña para las modificaciones / eliminaciones / descuentos ... (Para todos los empleados)|Galdetu pasahitza aldaketak / ezabatzeak / deskontuak ... (Langile guztiei)
Pedir Contraseña Apertura de Cajetin|Eska ezazu pasahitza kutxatila irekitzea
Pedir Contraseña Al Entrar Caja|Galdetu pasahitza koadroan sartuz
Pedir Empleado Al Entrar Caja|Galdetu langilea koadroan sartuz
Activar Opciones|Aktibatu Aukerak
Pedir Contraseña|Galdetu pasahitza
Pedir Empleado X Cada Venta|Galdetu langilea X ​​salmenta bakoitzean
Utilizar Caja Rapida|Erabili Quick Box
Entrar en modo Direccion|Idatzi Helbide moduan
¿Ha olvidado su contraseña?|Zure pasahitza ahaztu al zaizu?
No ha seleccionado ningun empleado|Ez duzu langilerik aukeratu
Ingrese su clave:|Idatzi zure pasahitza:
SELECCIONE EL EMPLEADO|SELECT THE EMPLOYEE
Nombre de la Empresa|Enpresaren izena
Ingrese el nro. de percha|Idatzi zenbakia zintzilikarioa
lb-_Empleado|lb-_Empleado
Cambio Precio|Aldatu prezioa
Cierre De Caja|Box Itxiera
Imprimir Resguardo|Inprimatu Resguardo
Imprimir Ticket|Inprimatu Ticket
Abrir Cajetin|Ireki kutxatila
Terminar Venta|Amaitu salmenta
Importe Total Prendas|Guztira zenbatekoa arropa
Entrega cliente|Bezeroaren entrega
Devolucion|Itzulia
Venta Anterior|Aurreko salmenta
Nro Prendas|Arropa kopurua
Caja - Ropero|Kutxa - Armairua
Entrada Seleccionada|Hautatutako sarrera
Entrada + consumicion|Sarrera + kontsumoa
Entrada Seleccionada:|Hautatutako sarrera:
Seleccion De Entradas|Sarreren aukeraketa
Nombre del Visor:|Ikuslearen izena:
Utilizar Visor|Erabili ikuslea
Eliminar Impresoras de este teminal|Kendu inprimagailuak terminal honetatik
La impresora se ha dado de alta correctamente|Inprimagailua erregistratu da
Seleccione la celda en la interseccion de la impresora y la zona que quiere asociar|Hautatu gelaxka inprimagailuaren elkargunean eta erlazionatu nahi duzun eremua
Configuracion de Impresoras|Inprimagailuaren konfigurazioa
Gestion de Impresoras|Inprimagailuen kudeaketa
Reenvio de Pedidos A cocina / Barra|Bidalketak aginduak Sukaldea / Taberna
* click en la linea que desea reimprimir|* Erreproduzitu nahi duzun lerroan klik egin
Zona Impresion|Inpresioaren eremua
Hora|denbora
numPedido|ordno I
Fecha|data
enviado|envoy
Detalles del Pedido|Aginduaren xehetasunak
Reenviar|aurrera
NumPedido =|OrdenNum =
Guardar|gorde
Descuento a aplicar|Deskontua aplikatzeko
lblCliente|lblCliente
Terminar Venta <F12>|Amaitu salmenta <F12>
Descuento|deskontua
Buscar Cliente|Bilatu bezeroarentzako
Cambio|aldaketaren
Cliente entrega Efectivo|Diru-sarreren bezeroa
Cliente paga con Tarjeta|Bezeroak txartela ordaintzen du
Formato de Impresion|Inprimatzeko formatua
Formato A4|A4 formatua
Formato A5|Formatua A5
Tamaño 10 cm.|Tamaina 10 cm.
Imprimir factura|Inprimatu faktura
SubTotal|SUBTOTAL
Propina|punta
Enviar ticket Correo Electronico|Bidali txartela E-mail
Cerrar Venta|Itxi salmenta
Imprimir en Cocina|Inprimatu sukaldean
V E R  T I C K E T|V E R T I C K E T
Tipo de venta|Salmenta mota
Factura|faktura
Boleta Formato Ticket|Ticket Format Ticket
Ultima Venta|Azken salmenta
Diseño de salon|Salon diseinua
Eliminar Venta Ya Cobrada|Ezabatu salmenta dagoeneko biltzen
Cobro Parcial|Bilduma partziala
Reservas de Mesas|Taulen erreserbak
Listados Caja|Zerrendak kutxa
Retirada de Caja|Kutxako ateratzea
Gastos del Dia|Eguneko gastuak
Activar Precios para este Terminal|Aktibatu Terminal honen prezioak
Reimpresion Ticket|Txartela errepikatzea
Modificacion de Tickets|Sarreren aldaketa
Conteo y cierre de caja|Eskudiru kontua eta itxiera
situacion panel opciones|panelaren egoera aukerak
panel_opciones de caja|panel_opciones cash
CONFIGURACION OPCIONES CAJA|KONFIGURAZIO-KUTXA AUKERAK
Regresar al idioma original|Itzuli jatorrizko hizkuntzan
¿Confirma que desea eliminar el siguiente registro?|Ziur al zaude hurrengo erregistroa ezabatu nahi duzula?
Idiomas|hizkuntzak
Usted ha seleccionado|Hautatzen duzu
Ninguno|bat ere ez
¿Seleccione el Idioma?|Hautatu hizkuntza?
Texto Traducido|Itzulitako testua
Texto Original|Jatorrizko testua
id|id
Texto|testua
Traduccion|itzulpen
lineas sin traducir|lerro ez itzulitakoak
Click sobre la linea para añadir una traduccion|Egin klik lerroan itzulpen bat gehitzeko
Click sobre la linea para modificar la traduccion|Egin klik lerroan itzulpenak aldatzeko
Texto sin traducir|Testu mugagabea
Condiciones|Termino
Registro de Licencias|Lizentzien erregistroa
Acerca de ...|Buruz ...
TPV Gratuito|Doako POS
B. Aires - Argentina|B. Aires - Argentina
D. F. - Mexico|D. F. - México
Santiago de Chile|Santiago, Chile
Lima - Peru|Lima - Peru
Costa Rica|Costa Rica
Puerto Rico|Puerto Rico
Miami - Florida|Miami - Florida
Bogota - Colombia|Bogotá - Kolonbia
Mantenimiento registrado hasta:|Mantentze erregistratua honetara:
Fecha de Caducidad:|Iraungitze data:
Fecha de Instalacion:|Instalazioaren eguna:
TPV Gratuito, Departamento de Desarrollo|Doako POS, Garapen Departamentua
Ultima actualizacion: XXX|Azken eguneratzea: XXX
Fecha de creacion:  XXX|Sorkuntza data: XXX
Proyecto: Tpv 123, Version: XXX|Proiektua: Tpv 123, bertsioa: XXX
Paseo de Europa 7, (S.S. de los Reyes - Madrid -España)|Paseo de Europa 7, (S. de los Reyes - Madrid-España)
Buenos Aires - Argentina|Buenos Aires - Argentina
E-mail: compras@tpvgratuito.com   www.tpvgratuito.com|E-posta: compras@tpvgratuito.com www.tpvgratuito.com
Servicio de asistencia:|Helpdesk:
Reg. Anual|Urteko Erreg
Usted está utilizando una licencia:|Lizentzia bat erabiltzen ari zara:
SolverMedia|SolverMedia
SolverMedia, Departamento de Desarrollo|SolverMedia, Garapen Departamentua
Fecha de creacion: XXX|Sorkuntza data: XXX
Proyecto: Servidor Net, Version: XXX|Proiektua: zerbitzari garbia, bertsioa: XXX
No hay datos para ser mostrados|Ez dago datuik erakusteko
Listado de Empleados|Langileen zerrenda
Listado de Familias|Familien zerrenda
Listados Generales|Zerrenda orokorrak
Ventas NCF Rep. Dominicana|Sales NCF Rep. Dominicana
Ventas con Promociones|Promozioak dituzten salmentak
Productos Bajo Minimo|Produktu txikiak gutxienekoak
Reimprimir Factura - Ticket|Erreprimitu faktura - Txartela
Ventas x Clientes|Salmentak x Bezeroak
Imprimir Letreros  y  Etiquetas |Inprimatu errotuluak eta etiketak
Estadisticas|Estatistikak
Valoracion Stock x Proveedores|Balioaren balorazioa x hornitzaileak
Valoracion Stock General|Balorazio orokorreko balioa
Listado de Proveedores|Hornitzaileen zerrenda
Listado de Clientes|Bezeroen zerrenda
Listado de Productos|Produktuen zerrenda
Servicios a Domicilio|Etxeko zerbitzuak
Consumo de Platos Menu|Arropa kontsumitzeko menua
Reservas x Dia|Erreserbak x eguna
Pedidos Realizados a Proveedor|Hornitzaileentzako egindako eskaerak
Empleado del Mes|Hilabeteko langilea
Estadistica x Repartidor|Estatistikak x Saltzaile
Retiradas Empleados|Langileen baja
Relacion Envios Cocina contra Ventas|Bidalketa harremanak Kitchen vs. Sales
Formato Din-A4|Din-A4 formatua
Formato Ticket|Txartel formatua
Total Diario de Retiradas|Guztira eguneroko ateratzeak
Ventas x Zonas|Salmentak x Arloak
Caja Total x Dias|Guztira Box x egunak
Gastos de Caja|Diruzaintzako gastuak
Descuentos Realizados|Deskontuak egindakoak
Ventas en el mes (Acumulado x Horas)|Hilabeteko salmentak (Eguneratutako orduak)
Reservas Hora/Dia /Mes|Erreserbak Denbora / Eguna / Hilabetea
Ventas x Empleados|Salmentak x Langileak
Impuestos Repercutidos|Zergak kenkaria
Gastos|gastuak
Relacion de Propinas|Punta-erlazioa
Ventas x Menus|Salmentak x Menuak
Resumen Contable de Facturas|Faktura kontabilitatearen laburpena
Productos mas Vendidos|Gehien saltzen diren produktuak
Productos Sin Ventas|Salmentarik gabeko produktuak
Ventas x Horas|Sales orduak
Resumen de Venta x Empleados|Salmentaren laburpena x Langileak
Ventas Detalladas x Empleados|Salmentak x Langileak
Ventas Eliminadas y Descuentos|Salmentak eta deskontuak ezabatuak
Ventas x Zonas -Totalizado x Productos|Salmentak x Arloak -Totalizatutako x produktuak
Ventas Generales x Dia|Sales General x Day
Ventas x Familias|Salmentak x Familiak
Ventas x Zonas Formato General|Sales x Arloak Formatu orokorra
Ventas x Forma de Pago|Salmentak ordaintzeko formularioa
Ventas Formato Ticket Resumido|Salmentaren laburpena Ticket formatua
Ventas Formato Ticket x Empleado|Salmentako formatua Ticket x Langilea
Productos Bajo Minimos Formato Ticket|Formatu Minimaleko Txartelaren azpiko Produktuak
Ventas Eliminadas Formato Ticket|Salmentak ezabatutako formatuan
Cierres de Caja Formato Ticket|Cashier Itxiera Formatuaren txartela
Ventas Formato Ticket Detallado|Salmentak Ticket formatu zehatza
Subproductos|azpiproduktuak
Eliminar Datos de Prueba|Ezabatu test datuak
Configuracion Empresa|Enpresaren konfigurazioa
Datos de la Factura|Faktura datuak
Ultimo Nro. Utilizado = |Azken erabilia ez =
Factura Numero|Bill zenbakia
Numeracion de factura|Faktura zenbakia
No Incluidos|Ez dago barne
Incluidos|sartuta
Impuestos|fiskalitatea
