Configuracion Inicial|Configuración inicial
- Solo los clientes con la version COMPLETA tienen incluida la asistencia telefonica|- Só os clientes coa versión COMPLETA teñen asistencia telefónica incluída
---- En la modalidad COMPLETA, realizando un pago anual, ademas de las opciones incluidas en la version BASICA, tendra derecho a la asistencia de forma telefonica.|---- No modo COMPLETO, realizando un pagamento anual, ademais das opcións incluídas na versión BASIC, terás dereito a asistencia telefónica.
---- En la modalidad BASICA, con una reducida cuota anual usted tendra habilitada las opciones del programa que le permitiran realizar todas gestiones necesarias para su negocio, para mayor detalle recuerde consultar la opcion de Tipos de Licencia.|---- No modo BASICA, cunha tarifa anual reducida habilitarás as opcións do programa que che permitirán realizar todos os pasos necesarios para a túa empresa, para máis detalles recordade consultar a opción de Tipos de licenza.
Si decide utilizar la version GRATUITA recuerde que tiene algunas limitaciones, consulte la opcion de Tipos de Licencia para una descripcion mas detallada de la version GRATUITA, BASICA y COMPLETA.|Se decides usar a versión GRATUITA recorda que ten algunhas limitacións, consulta a opción de Tipos de licenza para obter unha descrición máis detallada da versión GRATUITA, BÁSICA e COMPLETA.
---- En la modalidad GRATUITA, durante los primeros 90 dias usted podra probar y trabajar con la version BASICA, pasado ese periodo podra volver a la version gratuita o pasar a la version BASICA o COMPLETA. Recuerde que esta version GRATUITA  es para empr|---- No modo GRATUITO, durante os primeiros 90 días podes probar e traballar coa versión BASIC, despois dese período podes volver á versión gratuita ou ir á versión BASIC ou COMPLETA. Lembre que esta versión gratuita é para o negocio
- La empresa Tpv 123 - Gratuito no es responsable si el cliente formatea el equipo o es atacado por algun tipo de virus que provoque la perdida de informacion o de licencia.|- A empresa Tpv 123 - Gratuito non se fai responsable se o cliente forma o equipo ou é atacado por algún tipo de virus que provoca a perda de información ou licenza.
- Tpv 123 - Gratuito recomienda la compra, para el buen funcionamiento del programa, de una impresora de tickets EPSON/SAMSUNG/Star o cualquier modelo de impresora, siempre que se instale junto con los drivers de dicha impresora. (Tipo de conexion recomen|- Tpv 123 - Free recomenda a compra, para o bo funcionamento do programa, dunha impresora de boleto EPSON / SAMSUNG / Star ou calquera modelo de impresora, sempre que se instale xunto cos controladores da impresora. (O tipo de conexión recoméndase
- Este es un programa estandar, no se hacen modificaciones a medida o personalizaciones, nuestros clientes en version BASICA y COMPLETA si pueden sugerirnos algunos cambios que nosotros sin ningun coste añadido incluiremos en siguientes versiones.|- Este é un programa estándar, non se realizan modificacións ou personalizacións personalizadas, os nosos clientes en BASIC e versión COMPLETA se poden suxerir algúns cambios que incluiremos sen custo adicional nas seguintes versións.
- Si usted esta utilizando la version GRATUITA y necesita algun tipo de asistencia recuerde que tiene que contratar la version BASICA o COMPLETA dependiendo de su incidencia.|- Se está a usar a versión GRATUITA e necesita axuda, lembre que ten que contraer a versión BASIC ou COMPLETE segundo a súa incidencia.
Al instalar este programa,usted acepta las siguientes condiciones:|Ao instalar este programa, aceptas as seguintes condicións:
CONDICIONES DE USO DEL PROGRAMA|CONDICIÓNS DE USO DO PROGRAMA
Promociones Fast Food|Promocións de comida rápida
Zonas|Áreas
SubFamilias|Subfamilias
Productos Elaborados|Produtos procesados
Productos|Produtos
Familias|Familias
Varios Precios|Varios prezos
Formas de Pago|Formas de pagamento
Empleados|Traballadores
Clientes|Clientes
Proveedores|Provedores
Aceptar|Aceptar
Cancelar|Cancelar
Eliminar|Eliminar
Modificar|Modificar
Nuevo|Novo
No Movimiento|Sen movemento
Productos relacionados con el proveedor:|Produtos relacionados co provedor:
Dia de Visita:|Visita o Día:
Número de Cuenta:|Número de conta:
Nombre del Banco|Nome do Banco
Dia de Pago:|Día de pagamento:
Forma de Pago:|Método de pagamento:
Observaciones:|Observacións:
Correo Electrónico:|Correo electrónico:
Móvil / Celular:|Móbil / celular:
Teléfono:|Teléfono:
Dirección:|Enderezo:
Población:|Poboación:
Código Postal:|Código postal:
Provincia:|Provincia:
País:|País:
DNI / CIF|DNI / CIF
Contacto:|Contacto:
Nombre|Nome
Gestion de Proveedores|Xestión de provedores
Lista de Proveedores|Lista de provedores
Ver Ingredientes|Vexa Ingredientes
Ver Productos Venta|Ver produtos Venda
Zona:|Zona:
    Buscar Por Nombre:|    Busca por nome:
Codigoproducto|Produto de código
Barra|Barra
Cocina|Cociñar
Ambos|Ambos
situaciongrid|situaciongrid
Posicion  en Pantalla:|Posición da pantalla:
Ingredientes|Ingredientes
Producto para Venta|Produto en venda
Mostrar en Pantalla de Caja:|Mostrar en caixa de pantalla:
Precio de Venta:|Prezo de venda:
Impuesto:|Imposto:
grid_ingredientes|grid_ingredientes
grid_productosventas|grid_productosventas
Descripcion Numerica:|Descrición numérica:
Seleccionar Color:|Seleccionar cor:
Insertar Imagen|Inserir imaxe
Tipo de Producto:|Tipo de produto:
Producto preparado en:|Produto preparado en:
Coste:|Custo:
Stock Actual:|Stock actual:
Stock Minimo:|Stock mínimo:
Proveedor:|Provedor:
Codigo de Barras:|Código de barras:
Unidades de medida:|Unidades de medida:
Nombre del Producto:|Nome do produto:
Gestion de Productos|Xestión de produtos
Buscar|Busca
Resultados de la Busqueda|Resultados da busca
panel de busqueda de clientes|panel de busca de clientes
Buscar Clientes|Buscar clientes
** DOBLE CLIC EN EL CLIENTE DESEADO|** DÚCELAR CLIC NO CLIENTE DESEADO
Rellene algun campo para la busqueda|Encha algúns campos para a busca
DNI/ CIF|DNI / CIF
Tlf Movil|Teléfono móbil
Telefono|Teléfono
Email|Correo electrónico
Provincia|Provincia
Poblacion|Poboación
Apellidos|Apelido
CP|CP
Codigo Cliente|Código de cliente
situacion|Situación
Descuento %|Desconto%
historico ventas|vendas históricas
datos|datos
Lista Ultimos 50 Clientes|Últimos 50 listados de clientes
Puerta|Porta
Numero|Número
Piso|Piso
Direcccion|Dirección
Nombre *|Nome *
situacion buscar|busca de situación
Gestion de Clientes|Xestión de clientes
Familia Tipo Menu Combo|Menú de tipo familiar Combo
Familia Tipo Menu|Menú de tipo familiar
Familia Generica|Familia xenérica
Gestion de Familias|Xestión familiar
Clic sobre la familia para ver mas detalles|Fai clic sobre a familia para ver máis detalles
Lista de Familias|Lista de familias
*Pulse en la familia para ver los productos agregados a la misma|* Fai clic na familia para ver os produtos engadidos nel
Seleccione el tipo de familia|Seleccione o tipo de familia
Lb_stopanelproductos|Lb_stopanelproductos
Esta familia no tiene productos relacionados|Esta familia non ten produtos relacionados
lista productos|produtos da lista
Clic en el producto que desee incluir en su familia|Fai clic no produto que desexas incluír na túa familia
Lista de Productos |Lista de produtos
Añadir Productos|Engadir produtos
Tipo de Familia:|Tipo de familia:
Label5|Etiqueta5
datos generica|datos xenéricos
datos familia generica|datos familiares xenéricos
Imagen|Imaxe
Datos de la Familia|Datos familiares
Mostrar en Caja |Mostrar en caixa
Posicion en Pantalla|Posición da pantalla
Descripcion Numerica|Descrición numérica
Productos Incluidos|Produtos incluídos
panel menu familia|familia do menú do panel
Producto incluido en otra familia|Produto incluído noutra familia
Productos Tercer Plato/ Postre|Terceiro produtos de prato / postre
Productos Segundo Plato|Produtos de segunda placa
Productos Primer Plato|Produtos de primeira placa
Añadir Postre|Engadir postre
Añadir Segundo|Engadir segundo
Añadir Primero|Engadir primeiro
Impuesto|Imposto
Precio de Venta|Prezo de venda
tipo|tipo
NO BORRAR|Non borras
situacion paneles|paneis de situación
Añadir + Productos a la SubFamilia|Engadir + produtos á subfamilia
Clic en el producto que desee incluir en el subproducto|Fai clic no produto que desexas incluír no subproduto
Familia a la que pertenece|Familia á que pertence
datos subfamilia|datos da subfamilia
Datos de la SubFamilia|Datos da subfamilia
SubFamilias Existentes|Subfamilias existentes
Num S.S.:|Num S.S .:
Repartidor:|Concesionario:
Apellidos:|Apelido:
Color en Caja:|Cor en caixa:
Número de  Cuenta:|Número de conta:
Nombre  del Banco:|Nome do banco:
Foto:|Foto:
Correo  Electrónico:|Correo electrónico:
NIF/ CIF:|NIF / CIF:
Nombre:|Nome:
Lista de Empleados|Listaxe de empregados
Gestion de Empleados|Xestión dos empregados
*clic para ver datos del producto|* fai clic para ver os datos do produto
top grid|grade superior
Sirve para que en lugar de que  aparezca una imagen en el boton  del producto aparezca un numero.|Serve para que no canto de aparecer unha imaxe no botón do produto, aparece un número.
alturacandidadingredientes|cadeas de altura
Es el lugar donde queremos que se  muestre el producto en caja cuando hacemos clic sobre su familia.|É o lugar onde queremos mostrar o produto na caixa cando facemos clic na súa familia.
nombreproducto|nome do produto
Codigo|Código
CantidaddeIngredientes|Cantidade de ingredientes
Cantidad|Cantidade
Ingredientes Incluidos en el Producto: |Ingredientes incluídos no produto:
Ver Datos Completos|Ver datos completos
¿cuantos|Cantos
sto ingredientes|ingredientes sto
Producto Elaborado|Produto procesado
Producto preparado en|Produto preparado en
Descripcion  Numerica:|Descrición numérica:
situacion izquierda|situación esquerda
situacion derecha|situación correcta
alturagrid|alturagrid
Seleccione el producto o el ingrediente a utilizar|Seleccione o produto ou ingrediente a empregar
Ver Productos|Ver produtos
Gestion de Productos Elaborados|Xestión de produtos procesados
Ver Ingredientes Incluidos|Vexa Ingredientes incluídos
Añadir Producto|Engadir produto
Nuevo Precio|Novo prezo
Precio Actual|Prezo actual
Añadir Nuevos Productos|Engadir novos produtos
Producto|Produto
Precio Original|Prezo orixinal
Precios Validos entre los siguientes dias y horas|Prezos válidos entre os días e horas seguintes
Hora Hasta|Hora Ata
Hora Desde|Tempo dende
Fecha Hasta|Data Ata
Fecha Desde|Data de
Nombre de la lista|Nome da lista
SITUACION DE LOS PANELES|SITUACIÓN DOS PANELES
Id lista|Lista de Id
Fecha de Alta|Data de rexistro
Desde|Desde
Hasta|Arriba
Horario Desde|Programar desde
Horario Hasta|Programar cara arriba
Ver Lista|Ver lista
Lista de Precios Existentes|Lista de prezos existentes
Volver Lista de Precios|Lista de prezos posteriores
Lista de Precios|Lista de prezos
Productos de Barra|Produtos de Barra
Productos de cocina|Produtos de cociña
Esta zona la voy a utilizar para|Vou usar esta área para
Zonas Existentes|Áreas existentes
Zonas de Impresion|Áreas de impresión
Diseño|Deseño
Otro Terminal|Outra terminal
Reservada|Reservado
Ocupada|Ocupado
Libre|Gratis
Panel Mesas|Táboas de paneis
Mesas|Táboas
Diseño Salon|Salon Design
Reservas|Reservas
Salones|Cuartos
Reserva|Reserva
Total|Total
Tablet Activada|Tablet activado
Visor Pedidos|Visor de ordes
Bit|Bit
Pedido Telefonico|Orde de teléfono
Envio|Envío
Juntar Cuentas|Únete a contas
SALON|SALON
EMPLEADO|EMPREGO
codigoempleado|código do empregado
PEDIDO|SOLICITUDE
H. INICIO|H. HOME
MESA|MESA
Cant.|Cant.
Precio|Prezo
Primero|En primeiro lugar
Segundo|Segunda
Postre|Sobremesa
Desc|Desc
Num_Factura|Num_Factura
Recargo|Recarga
Producto de Menu|Produto de menú
Menu|Menú
Codigo del Menu|Código de menú
Servido|Servido
Tipo de Impuesto|Tipo de imposto
Cod Empleado|Cod Employee
codigo Familia|Código familiar
Indice|Índice
Cod. Prod.|Cod. Prod.
Orden Menu|Menú de pedidos
ZonaImpresion|Área de impresión
BEBIDAS/ POSTRES|BEBIDAS / POSTRES
PRIMER PLATO|PRIMEIRA PLACA
SEGUNDO PLATO|SEGUNDA PLACA
situacion panel producto|situación do panel de produto
Opciones|Opcións
Cobrar|Carga
Abrir  Cajetin|Open Cajetin
Preticket|Preticket
Enviar a cocina|Enviar á cociña
Borrar Venta|Eliminar venda
Observ. Pedido|Observei Orde
Crear/Modificar Salones|Crear / Modificar cuartos
Diseño de Salones|Deseño de cuartos
Elementos para  el diseño|Elementos para o deseño
Posicion del objeto/mesa|Posición do obxecto / táboa
Eliminar Mesa|Eliminar a táboa
Eliminar Objeto|Eliminar obxecto
Guardar Numero|Gardar número
Numero Mesa|Táboa numerada
Eliminar Diseño Salon|Eliminar Salón de deseño
Boton Pulsado|Botón pulsado
Objeto Pulsado|Obxecto pulsado
Esta diseñando el:|Está a deseñar o:
Alta Salones/ Barra|Salas altas / Bar
Lista de Salones - Barras|Listado de cuartos - Bares
Recargo:|Recargo:
Posicion En Pantalla:|Posición da pantalla:
Color Salon|Salón de cor
Imagen Mesas|Mesas de imaxe
Nro de Mesas:|Nº de táboas:
Imagen Salon|Salon imaxe
Cambiar Idioma / Change Language|Cambiar o idioma / cambiar o idioma
Base De Datos|Base de datos
Contraseña Director|Contraseña do director
Importar Imagenes del Servidor|Importa imaxes do servidor
Permisos Usuario|Permisos de usuario
Importar Datos|Importar datos
Cierre Año|Ano próximo
Envio Informes|Informes de envío
Conexion en Red|Conexión de rede
Aumento Precio|Aumentar o prezo
Horario|Horario
Diseño Ticket / Factura|Deseño de billetes / Factura
Cajetin|Cajetin
Impresoras|Impresoras
Copia de Seguridad|Copia de respaldo
Configuracion Regional|Configuración rexional
Datos de la empresa|Datos da empresa
situacionpaneles|situacionpaneles
Esta a punto de restaurar una copia de seguridad, recuerde que este proceso es irreversible y cambiara la base de datos con la que trabaja en estos momentos por la seleccionada |Está a piques de restaurar unha copia de seguridade, lembre que este proceso é irreversible e cambiará a base de datos coa que está a traballar actualmente para o seleccionado.
Hacer Copia de Seguridad|Fai unha copia de seguranza
Restaurar Copia de Seguridad|Restaurar a copia de seguranza
Administracion Permisos|Administración de permisos
Nro. de copias del preticket|Nº de copias previas ao boleto
Nro. de copias del ticket|Nº de copias do billete
Centrado|Centrado
OFF|OFF
ON|ON
Enviar Confirmacion Reserva|Enviar reserva de confirmación
Enviar email al director / cierre caja|Envía un correo electrónico a caixa de director / pechar
Realizar cierre caja ciego|Realice a caixa de peche
Pedir Contraseña Al Entrar Al Programa|Solicitar contrasinal ao entrar no programa
Permisos Usuarios|Permisos dos usuarios
Pedir contraseña para las modificaciones / eliminaciones / descuentos ... (Para todos los empleados)|Solicitar contrasinal para modificacións / eliminacións / descontos ... (Para todos os empregados)
Pedir Contraseña Apertura de Cajetin|Solicitar Contrasinal Abrir Cajetin
Pedir Contraseña Al Entrar Caja|Solicitar contrasinal ao entrar no cadro
Pedir Empleado Al Entrar Caja|Pregunta ao empregado ao entrar na caixa
Activar Opciones|Activar Opcións
Pedir Contraseña|Solicitar contrasinal
Pedir Empleado X Cada Venta|Solicite empregado X cada venda
Utilizar Caja Rapida|Use a caixa rápida
Entrar en modo Direccion|Introduce o modo enderezo
¿Ha olvidado su contraseña?|Esqueceu o seu contrasinal?
No ha seleccionado ningun empleado|Non seleccionaches ningún empregado
Ingrese su clave:|Introduce o teu contrasinal:
SELECCIONE EL EMPLEADO|SELECCIONA O EMPREGO
Nombre de la Empresa|Nome da empresa
Ingrese el nro. de percha|Introduce o número de percha
lb-_Empleado|lb_empleador
Cambio Precio|Cambiar prezo
Cierre De Caja|Cierre de caixa
Imprimir Resguardo|Imprimir Resguardo
Imprimir Ticket|Ticket impreso
Abrir Cajetin|Open Cajetin
Terminar Venta|Finalizar a venda
Importe Total Prendas|Cantidade total de pezas
Entrega cliente|Entrega ao cliente
Devolucion|Retorno
Venta Anterior|Venda previa
Nro Prendas|Roupa n
Caja - Ropero|Caixa - Armario
Entrada Seleccionada|Entrada seleccionada
Entrada + consumicion|Entrada + consumo
Entrada Seleccionada:|Entrada seleccionada:
Seleccion De Entradas|Selección de billetes
Nombre del Visor:|Nome do espectador:
Utilizar Visor|Usar o visor
Eliminar Impresoras de este teminal|Elimina impresoras desde este terminal
La impresora se ha dado de alta correctamente|A impresora rexistrouse correctamente
Seleccione la celda en la interseccion de la impresora y la zona que quiere asociar|Seleccione a cela na intersección da impresora e na área que desexa asociar
Configuracion de Impresoras|Configuración da impresora
Gestion de Impresoras|Xestión da impresora
Reenvio de Pedidos A cocina / Barra|Envío de pedidos a cociña / bar
* click en la linea que desea reimprimir|* fai clic na liña que desexa reprint
Zona Impresion|Zona de impresión
Hora|Hora
numPedido|numPedido
Fecha|Data
enviado|enviado
Detalles del Pedido|Detalles da Orde
Reenviar|Reenviar
NumPedido =|OrderNum =
Guardar|Gardar
Descuento a aplicar|Desconto a aplicar
lblCliente|lblClient
Terminar Venta <F12>|Finalizar a venda <F12>
Descuento|Desconto
Buscar Cliente|Buscar cliente
Cambio|Cambio
Cliente entrega Efectivo|Cliente de entrega de efectivo
Cliente paga con Tarjeta|O cliente paga con tarxeta
Formato de Impresion|Formato de impresión
Formato A4|Formato A4
Formato A5|Formato A5
Tamaño 10 cm.|Tamaño 10 cm.
Imprimir factura|Imprimir factura
SubTotal|SubTotal
Propina|Consello
Enviar ticket Correo Electronico|Enviar correo electrónico de boleto
Cerrar Venta|Pechar venda
Imprimir en Cocina|Imprimir en cociña
V E R  T I C K E T|V E R T I C K E T
Tipo de venta|Tipo de venda
Factura|Factura
Boleta Formato Ticket|Ticket format de boleto
Ultima Venta|Última venda
Diseño de salon|Deseño de salón
Eliminar Venta Ya Cobrada|Eliminar a venda xa recompilada
Cobro Parcial|Colección parcial
Reservas de Mesas|Reservas de mesa
Listados Caja|Caixa de listados
Retirada de Caja|Retirada de diñeiro
Gastos del Dia|Gastos por día
Activar Precios para este Terminal|Activar os prezos para esta terminal
Reimpresion Ticket|Boleto de reimpressão
Modificacion de Tickets|Modificación de entradas
Conteo y cierre de caja|Contar e pechar o diñeiro
situacion panel opciones|opcións de situación do panel
panel_opciones de caja|Opcións do panel
CONFIGURACION OPCIONES CAJA|OPCIONES DE CAIXA DE CONFIGURACIÓN
Regresar al idioma original|Voltar ao idioma orixinal
¿Confirma que desea eliminar el siguiente registro?|Estás seguro de que queres eliminar o seguinte rexistro?
Idiomas|Linguas
Usted ha seleccionado|Seleccionaches
Ninguno|Nada
¿Seleccione el Idioma?|Selecciona o idioma?
Texto Traducido|Texto traducido
Texto Original|Texto orixinal
id|id
Texto|Texto
Traduccion|Tradución
lineas sin traducir|liñas non traducidas
Click sobre la linea para añadir una traduccion|Fai clic na liña para engadir unha tradución
Click sobre la linea para modificar la traduccion|Fai clic na liña para modificar a tradución
Texto sin traducir|Texto non traducido
Condiciones|Condicións
Registro de Licencias|Rexistro de licenzas
Acerca de ...|Sobre ...
TPV Gratuito|POS gratuíto
B. Aires - Argentina|B. Aires - Arxentina
D. F. - Mexico|D. F. - México
Santiago de Chile|Santiago, Chile
Lima - Peru|Lima - Perú
Costa Rica|Costa Rica
Puerto Rico|Porto Rico
Miami - Florida|Miami - Florida
Bogota - Colombia|Bogotá - Colombia
Mantenimiento registrado hasta:|Mantemento rexistrado ata:
Fecha de Caducidad:|Data de caducidade:
Fecha de Instalacion:|Data de instalación:
TPV Gratuito, Departamento de Desarrollo|POS gratuíto, Departamento de Desenvolvemento
Ultima actualizacion: XXX|Última actualización: XXX
Fecha de creacion:  XXX|Data de creación: XXX
Proyecto: Tpv 123, Version: XXX|Proxecto: Tpv 123, Versión: XXX
Paseo de Europa 7, (S.S. de los Reyes - Madrid -España)|Paseo de Europa 7, (S.S. de los Reyes - Madrid-España)
Buenos Aires - Argentina|Bos Aires - Arxentina
E-mail: compras@tpvgratuito.com   www.tpvgratuito.com|Correo electrónico: compras@tpvgratuito.com www.tpvgratuito.com
Servicio de asistencia:|Helpdesk:
Reg. Anual|Reg anual
Usted está utilizando una licencia:|Está a usar unha licenza:
SolverMedia|SolverMedia
SolverMedia, Departamento de Desarrollo|SolverMedia, Departamento de Desenvolvemento
Fecha de creacion: XXX|Data de creación: XXX
Proyecto: Servidor Net, Version: XXX|Proxecto: Servidor Net, Versión: XXX
No hay datos para ser mostrados|Non hai datos para mostrar
Listado de Empleados|Listaxe de empregados
Listado de Familias|Lista de familias
Listados Generales|Listaxes xerais
Ventas NCF Rep. Dominicana|Vendas NCF Rep. Dominicana
Ventas con Promociones|Vendas con promocións
Productos Bajo Minimo|Produtos Baixos Mínimos
Reimprimir Factura - Ticket|Reimpresión de facturas - Ticket
Ventas x Clientes|Vendas x Clientes
Imprimir Letreros  y  Etiquetas |Sinais e etiquetas de impresión
Estadisticas|Estatísticas
Valoracion Stock x Proveedores|Valuación Stock x Provedores
Valoracion Stock General|Valoración xeral de accións
Listado de Proveedores|Lista de provedores
Listado de Clientes|Lista de Clientes
Listado de Productos|Lista de produtos
Servicios a Domicilio|Servizos domésticos
Consumo de Platos Menu|Menú de consumo de pratos
Reservas x Dia|Reservas x Día
Pedidos Realizados a Proveedor|Pedidos feitos ao fornecedor
Empleado del Mes|Traballador do mes
Estadistica x Repartidor|Estatísticas x Revendedor
Retiradas Empleados|Empregados retirados
Relacion Envios Cocina contra Ventas|Envío Relación Cociña vs Vendas
Formato Din-A4|Formato Din-A4
Formato Ticket|Formato de boleto
Total Diario de Retiradas|Retirada diaria total
Ventas x Zonas|Vendas x Áreas
Caja Total x Dias|Caixa Total x días
Gastos de Caja|Gastos en efectivo
Descuentos Realizados|Descontos realizados
Ventas en el mes (Acumulado x Horas)|Vendas no mes (horas x acumuladas)
Reservas Hora/Dia /Mes|Reservas Hora / Día / Mes
Ventas x Empleados|Vendas x Empregados
Impuestos Repercutidos|Impostos tributais
Gastos|Gastos
Relacion de Propinas|Razón Tip
Ventas x Menus|Vendas x Menús
Resumen Contable de Facturas|Resumo de contabilidade de facturas
Productos mas Vendidos|A maioría dos produtos vendidos
Productos Sin Ventas|Produtos sen vendas
Ventas x Horas|Vendas x horas
Resumen de Venta x Empleados|Resumo de Venda x Empleados
Ventas Detalladas x Empleados|Vendas detalladas x Empregados
Ventas Eliminadas y Descuentos|Vendas e descontos eliminados
Ventas x Zonas -Totalizado x Productos|Vendas x Áreas -Totalizadas x produtos
Ventas Generales x Dia|Vendas xerais x Día
Ventas x Familias|Vendas x Familias
Ventas x Zonas Formato General|Vendas x Formato xeral de áreas
Ventas x Forma de Pago|Vendas x Forma de pagamento
Ventas Formato Ticket Resumido|Formato de venda de resumo
Ventas Formato Ticket x Empleado|Formato de venda Ticket x Empregado
Productos Bajo Minimos Formato Ticket|Produtos baixo Ticket Minimal Format
Ventas Eliminadas Formato Ticket|Boleto de venda de formatos eliminados
Cierres de Caja Formato Ticket|Formato de cupón de caixón
Ventas Formato Ticket Detallado|Formato de venda detallado de vendas
Subproductos|Subprodutos
Eliminar Datos de Prueba|Eliminar datos de proba
Configuracion Empresa|Configuración da empresa
Datos de la Factura|Datos da factura
Ultimo Nro. Utilizado = |Último usado Non =
Factura Numero|Número de factura
Numeracion de factura|Número de factura
No Incluidos|Non incluído
Incluidos|Incluído
Impuestos|Impostos
Ancho A5 (14cm)|Ancho A5 (14 cm)
Ancho 10 cm|Ancho 10 cm
Ancho A4 (21cm)|Ancho A4 (21 centímetros)
Formato de Factura|Formato de factura
Logo de la Empresa|Logotipo da empresa
Pagina Web|Sitio web
Direccion|Enderezo
Pais|País
Codigo Postal|Código postal
Detalles de la Empresa|Detalles da empresa
Recuerde que en la carpeta indicada en la linea superior tiene que existir el archivo nomprog.|Lembre que no cartafol indicado na liña superior hai que existir o ficheiro nomprog.
Paso1: Confirme que todos sus equipos esten conectados en red.  Paso2: De todos los equipos que tiene, tiene que seleccionar uno que va a hacer de servidor.  Paso3: El equipo que hara de servidor tiene que tener el disco C compartido y con los permiso|Paso 1: confirma que todas as computadoras están conectadas nunha rede. Paso 2: De todos os equipos que ten, tes que seleccionar un que vai ser un servidor. Paso 3: O equipo que fará que o servidor teña o disco C e co permiso compartido
Nota: Localice el equipo que hara de servidor que la base de datos la encontrara en |Nota: Localice a computadora que fará que o servidor atopalo na base de datos
Conectar con la base de datos|Conéctate coa base de datos
Como tiene que poner su equipo  en modo red local (varios equipos)|Como poñer o computador no modo de rede local (varias computadoras)
Conexion con otro Terminal|Conexión con outra terminal
Permisos de Usuario|Permisos de usuario
Seleccione el empleado al que va a configurar permisos|Seleccione o empregado ao que vai establecer permisos
Cambio Guardado|Cambio gardado
Cambio de Clave|Cambio de contrasinal
* Maximo 8 caracteres|* Máximo 8 caracteres
Confirmacion|Confirmación
Nueva|Novo
Antigua|Antiga
Cambiar Contraseña|Cambiar contrasinal
Cambios guardados|Cambios gardados
Aplicar Cambios para este Empleado|Aplique os cambios para este empregado
Borrar Restricciones|Eliminar restricións
Opciones configurables|Opcións configurables
NO Permite acceso al modulo|NO Permite o acceso ao módulo
Permite acceso al modulo|Permite o acceso ao módulo
Seleccione su pais|Selecciona o teu país
Nombre del Impuesto (IVA, IGIC, IGV, etc.)|Nome do Imposto (IVE, IGIC, IGV, etc.)
Si en su pais no se aplica esta normativa, NO ACTIVE esta opcion|Se esta regulación non se aplica no teu país, NO active esta opción
